"","ObservedDate","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"85","10/14/2021","PA",2021,287,"11/7/2017","9/22/2014",1437,2579,11
"86","10/15/2017","PA",2017,288,"11/7/2017","9/22/2014",-23,1119,1
"87","10/15/2019","NJ",2019,288,"7/18/2021","7/17/2018",-642,455,2
"88","10/15/2019","PA",2019,288,"11/7/2017","9/22/2014",707,1849,6
"89","10/15/2020","NJ",2020,289,"7/18/2021","7/17/2018",-276,821,16
"90","10/15/2020","PA",2020,289,"11/7/2017","9/22/2014",1073,2215,25
"91","10/15/2021","NJ",2021,288,"7/18/2021","7/17/2018",89,1186,9
"92","10/15/2021","NY",2021,288,"9/5/2019","8/14/2020",771,427,1
"93","10/15/2021","PA",2021,288,"11/7/2017","9/22/2014",1438,2580,31
"94","10/16/2017","PA",2017,289,"11/7/2017","9/22/2014",-22,1120,2
"95","10/16/2018","PA",2018,289,"11/7/2017","9/22/2014",343,1485,4
"96","10/16/2019","PA",2019,289,"11/7/2017","9/22/2014",708,1850,4
"97","10/16/2020","NJ",2020,290,"7/18/2021","7/17/2018",-275,822,4
"98","10/16/2020","PA",2020,290,"11/7/2017","9/22/2014",1074,2216,4
"99","10/16/2021","NJ",2021,289,"7/18/2021","7/17/2018",90,1187,9
"100","10/16/2021","NY",2021,289,"9/5/2019","8/14/2020",772,428,3
"101","10/16/2021","PA",2021,289,"11/7/2017","9/22/2014",1439,2581,5
"102","10/17/2017","PA",2017,290,"11/7/2017","9/22/2014",-21,1121,2
"103","10/17/2019","PA",2019,290,"11/7/2017","9/22/2014",709,1851,12
"104","10/17/2020","NJ",2020,291,"7/18/2021","7/17/2018",-274,823,7
"105","10/17/2020","PA",2020,291,"11/7/2017","9/22/2014",1075,2217,16
"106","10/17/2021","NJ",2021,290,"7/18/2021","7/17/2018",91,1188,9
"107","10/17/2021","NY",2021,290,"9/5/2019","8/14/2020",773,429,3
"108","10/17/2021","PA",2021,290,"11/7/2017","9/22/2014",1440,2582,6
"109","10/18/2019","PA",2019,291,"11/7/2017","9/22/2014",710,1852,7
"110","10/18/2020","NJ",2020,292,"7/18/2021","7/17/2018",-273,824,4
"111","10/18/2020","NY",2020,292,"9/5/2019","8/14/2020",409,65,1
"112","10/18/2020","PA",2020,292,"11/7/2017","9/22/2014",1076,2218,4
"113","10/18/2021","NJ",2021,291,"7/18/2021","7/17/2018",92,1189,2
"114","10/18/2021","NY",2021,291,"9/5/2019","8/14/2020",774,430,5
"115","10/18/2021","PA",2021,291,"11/7/2017","9/22/2014",1441,2583,31
"116","10/19/2018","PA",2018,292,"11/7/2017","9/22/2014",346,1488,1
"117","10/19/2019","NJ",2019,292,"7/18/2021","7/17/2018",-638,459,1
"118","10/19/2019","PA",2019,292,"11/7/2017","9/22/2014",711,1853,14
"119","10/19/2020","NJ",2020,293,"7/18/2021","7/17/2018",-272,825,10
"120","10/19/2020","PA",2020,293,"11/7/2017","9/22/2014",1077,2219,8
"121","10/19/2021","NJ",2021,292,"7/18/2021","7/17/2018",93,1190,9
"122","10/19/2021","NY",2021,292,"9/5/2019","8/14/2020",775,431,1
"123","10/19/2021","PA",2021,292,"11/7/2017","9/22/2014",1442,2584,6
"124","10/2/2016","PA",2016,276,"11/7/2017","9/22/2014",-401,741,1
"125","10/2/2018","PA",2018,275,"11/7/2017","9/22/2014",329,1471,5
"126","10/2/2019","NJ",2019,275,"7/18/2021","7/17/2018",-655,442,1
"127","10/2/2019","PA",2019,275,"11/7/2017","9/22/2014",694,1836,8
"128","10/2/2020","NJ",2020,276,"7/18/2021","7/17/2018",-289,808,10
"129","10/2/2020","NY",2020,276,"9/5/2019","8/14/2020",393,49,1
"130","10/2/2020","PA",2020,276,"11/7/2017","9/22/2014",1060,2202,16
"131","10/2/2021","NJ",2021,275,"7/18/2021","7/17/2018",76,1173,37
"132","10/2/2021","NY",2021,275,"9/5/2019","8/14/2020",758,414,10
"133","10/2/2021","PA",2021,275,"11/7/2017","9/22/2014",1425,2567,21
"134","10/20/2017","PA",2017,293,"11/7/2017","9/22/2014",-18,1124,4
"135","10/20/2018","PA",2018,293,"11/7/2017","9/22/2014",347,1489,2
"136","10/20/2019","PA",2019,293,"11/7/2017","9/22/2014",712,1854,4
"137","10/20/2020","NJ",2020,294,"7/18/2021","7/17/2018",-271,826,7
"138","10/20/2020","PA",2020,294,"11/7/2017","9/22/2014",1078,2220,1
"139","10/20/2021","NJ",2021,293,"7/18/2021","7/17/2018",94,1191,12
"140","10/20/2021","PA",2021,293,"11/7/2017","9/22/2014",1443,2585,4
"141","10/21/2016","PA",2016,295,"11/7/2017","9/22/2014",-382,760,1
"142","10/21/2017","PA",2017,294,"11/7/2017","9/22/2014",-17,1125,3
"143","10/21/2018","PA",2018,294,"11/7/2017","9/22/2014",348,1490,3
"144","10/21/2019","PA",2019,294,"11/7/2017","9/22/2014",713,1855,13
"145","10/21/2020","NJ",2020,295,"7/18/2021","7/17/2018",-270,827,5
"146","10/21/2020","PA",2020,295,"11/7/2017","9/22/2014",1079,2221,3
"147","10/21/2021","NJ",2021,294,"7/18/2021","7/17/2018",95,1192,23
"148","10/21/2021","NY",2021,294,"9/5/2019","8/14/2020",777,433,2
"149","10/21/2021","PA",2021,294,"11/7/2017","9/22/2014",1444,2586,25
"150","10/22/2017","PA",2017,295,"11/7/2017","9/22/2014",-16,1126,1
"151","10/22/2019","PA",2019,295,"11/7/2017","9/22/2014",714,1856,5
"152","10/22/2020","NJ",2020,296,"7/18/2021","7/17/2018",-269,828,9
"153","10/22/2020","PA",2020,296,"11/7/2017","9/22/2014",1080,2222,16
"154","10/22/2021","NJ",2021,295,"7/18/2021","7/17/2018",96,1193,15
"155","10/22/2021","NY",2021,295,"9/5/2019","8/14/2020",778,434,1
"156","10/22/2021","PA",2021,295,"11/7/2017","9/22/2014",1445,2587,41
"157","10/23/2018","PA",2018,296,"11/7/2017","9/22/2014",350,1492,1
"158","10/23/2019","NJ",2019,296,"7/18/2021","7/17/2018",-634,463,2
"159","10/23/2019","PA",2019,296,"11/7/2017","9/22/2014",715,1857,1
"160","10/23/2020","NJ",2020,297,"7/18/2021","7/17/2018",-268,829,7
"161","10/23/2020","PA",2020,297,"11/7/2017","9/22/2014",1081,2223,26
"162","10/23/2021","NJ",2021,296,"7/18/2021","7/17/2018",97,1194,7
"163","10/23/2021","NY",2021,296,"9/5/2019","8/14/2020",779,435,2
"164","10/23/2021","PA",2021,296,"11/7/2017","9/22/2014",1446,2588,4
"165","10/24/2017","PA",2017,297,"11/7/2017","9/22/2014",-14,1128,1
"166","10/24/2018","PA",2018,297,"11/7/2017","9/22/2014",351,1493,3
"167","10/24/2019","NJ",2019,297,"7/18/2021","7/17/2018",-633,464,1
"168","10/24/2019","PA",2019,297,"11/7/2017","9/22/2014",716,1858,5
"169","10/24/2020","NJ",2020,298,"7/18/2021","7/17/2018",-267,830,14
"170","10/24/2020","PA",2020,298,"11/7/2017","9/22/2014",1082,2224,27
"171","10/24/2021","NJ",2021,297,"7/18/2021","7/17/2018",98,1195,13
"172","10/24/2021","NY",2021,297,"9/5/2019","8/14/2020",780,436,3
"173","10/24/2021","PA",2021,297,"11/7/2017","9/22/2014",1447,2589,8
"174","10/25/2018","PA",2018,298,"11/7/2017","9/22/2014",352,1494,2
"175","10/25/2019","NJ",2019,298,"7/18/2021","7/17/2018",-632,465,1
"176","10/25/2019","PA",2019,298,"11/7/2017","9/22/2014",717,1859,3
"177","10/25/2020","NJ",2020,299,"7/18/2021","7/17/2018",-266,831,6
"178","10/25/2020","PA",2020,299,"11/7/2017","9/22/2014",1083,2225,10
"179","10/25/2021","NJ",2021,298,"7/18/2021","7/17/2018",99,1196,62
"180","10/25/2021","NY",2021,298,"9/5/2019","8/14/2020",781,437,1
"181","10/25/2021","PA",2021,298,"11/7/2017","9/22/2014",1448,2590,8
"182","10/26/2018","PA",2018,299,"11/7/2017","9/22/2014",353,1495,1
"183","10/26/2019","NJ",2019,299,"7/18/2021","7/17/2018",-631,466,5
"184","10/26/2019","PA",2019,299,"11/7/2017","9/22/2014",718,1860,11
"185","10/26/2020","PA",2020,300,"11/7/2017","9/22/2014",1084,2226,3
"186","10/26/2021","NJ",2021,299,"7/18/2021","7/17/2018",100,1197,8
"187","10/26/2021","NY",2021,299,"9/5/2019","8/14/2020",782,438,1
"188","10/26/2021","PA",2021,299,"11/7/2017","9/22/2014",1449,2591,3
"189","10/27/2019","PA",2019,300,"11/7/2017","9/22/2014",719,1861,6
"190","10/27/2020","NJ",2020,301,"7/18/2021","7/17/2018",-264,833,5
"191","10/27/2020","PA",2020,301,"11/7/2017","9/22/2014",1085,2227,9
"192","10/27/2021","NJ",2021,300,"7/18/2021","7/17/2018",101,1198,25
"193","10/27/2021","NY",2021,300,"9/5/2019","8/14/2020",783,439,1
"194","10/27/2021","PA",2021,300,"11/7/2017","9/22/2014",1450,2592,23
"195","10/28/2019","PA",2019,301,"11/7/2017","9/22/2014",720,1862,2
"196","10/28/2020","NJ",2020,302,"7/18/2021","7/17/2018",-263,834,2
"197","10/28/2020","PA",2020,302,"11/7/2017","9/22/2014",1086,2228,3
"198","10/28/2021","NJ",2021,301,"7/18/2021","7/17/2018",102,1199,7
"199","10/28/2021","NY",2021,301,"9/5/2019","8/14/2020",784,440,4
"200","10/28/2021","PA",2021,301,"11/7/2017","9/22/2014",1451,2593,25
"201","10/29/2018","PA",2018,302,"11/7/2017","9/22/2014",356,1498,1
"202","10/29/2019","NJ",2019,302,"7/18/2021","7/17/2018",-628,469,2
"203","10/29/2021","NJ",2021,302,"7/18/2021","7/17/2018",103,1200,9
"204","10/29/2021","PA",2021,302,"11/7/2017","9/22/2014",1452,2594,4
"205","10/3/2018","PA",2018,276,"11/7/2017","9/22/2014",330,1472,5
"206","10/3/2019","PA",2019,276,"11/7/2017","9/22/2014",695,1837,2
"207","10/3/2020","NJ",2020,277,"7/18/2021","7/17/2018",-288,809,10
"208","10/3/2020","PA",2020,277,"11/7/2017","9/22/2014",1061,2203,15
"209","10/3/2021","NJ",2021,276,"7/18/2021","7/17/2018",77,1174,25
"210","10/3/2021","NY",2021,276,"9/5/2019","8/14/2020",759,415,17
"211","10/3/2021","PA",2021,276,"11/7/2017","9/22/2014",1426,2568,21
"212","10/30/2018","PA",2018,303,"11/7/2017","9/22/2014",357,1499,3
"213","10/30/2019","NJ",2019,303,"7/18/2021","7/17/2018",-627,470,1
"214","10/30/2019","PA",2019,303,"11/7/2017","9/22/2014",722,1864,3
"215","10/30/2020","NJ",2020,304,"7/18/2021","7/17/2018",-261,836,3
"216","10/30/2020","PA",2020,304,"11/7/2017","9/22/2014",1088,2230,2
"217","10/30/2021","NJ",2021,303,"7/18/2021","7/17/2018",104,1201,25
"218","10/30/2021","NY",2021,303,"9/5/2019","8/14/2020",786,442,1
"219","10/30/2021","PA",2021,303,"11/7/2017","9/22/2014",1453,2595,4
"220","10/31/2018","PA",2018,304,"11/7/2017","9/22/2014",358,1500,1
"221","10/31/2020","NJ",2020,305,"7/18/2021","7/17/2018",-260,837,2
"222","10/31/2020","PA",2020,305,"11/7/2017","9/22/2014",1089,2231,4
"223","10/31/2021","NJ",2021,304,"7/18/2021","7/17/2018",105,1202,5
"224","10/31/2021","NY",2021,304,"9/5/2019","8/14/2020",787,443,1
"225","10/31/2021","PA",2021,304,"11/7/2017","9/22/2014",1454,2596,1
"226","10/4/2018","PA",2018,277,"11/7/2017","9/22/2014",331,1473,5
"227","10/4/2019","NJ",2019,277,"7/18/2021","7/17/2018",-653,444,1
"228","10/4/2019","PA",2019,277,"11/7/2017","9/22/2014",696,1838,10
"229","10/4/2020","NJ",2020,278,"7/18/2021","7/17/2018",-287,810,13
"230","10/4/2020","PA",2020,278,"11/7/2017","9/22/2014",1062,2204,17
"231","10/4/2021","NJ",2021,277,"7/18/2021","7/17/2018",78,1175,14
"232","10/4/2021","NY",2021,277,"9/5/2019","8/14/2020",760,416,1
"233","10/4/2021","PA",2021,277,"11/7/2017","9/22/2014",1427,2569,12
"234","10/5/2018","PA",2018,278,"11/7/2017","9/22/2014",332,1474,1
"235","10/5/2019","NJ",2019,278,"7/18/2021","7/17/2018",-652,445,3
"236","10/5/2019","NY",2019,278,"9/5/2019","8/14/2020",30,-314,1
"237","10/5/2019","PA",2019,278,"11/7/2017","9/22/2014",697,1839,4
"238","10/5/2020","NJ",2020,279,"7/18/2021","7/17/2018",-286,811,4
"239","10/5/2020","PA",2020,279,"11/7/2017","9/22/2014",1063,2205,12
"240","10/5/2021","NJ",2021,278,"7/18/2021","7/17/2018",79,1176,6
"241","10/5/2021","NY",2021,278,"9/5/2019","8/14/2020",761,417,6
"242","10/5/2021","PA",2021,278,"11/7/2017","9/22/2014",1428,2570,9
"243","10/6/2016","PA",2016,280,"11/7/2017","9/22/2014",-397,745,1
"244","10/6/2018","PA",2018,279,"11/7/2017","9/22/2014",333,1475,1
"245","10/6/2019","NJ",2019,279,"7/18/2021","7/17/2018",-651,446,2
"246","10/6/2019","PA",2019,279,"11/7/2017","9/22/2014",698,1840,7
"247","10/6/2020","NJ",2020,280,"7/18/2021","7/17/2018",-285,812,8
"248","10/6/2020","PA",2020,280,"11/7/2017","9/22/2014",1064,2206,15
"249","10/6/2021","NJ",2021,279,"7/18/2021","7/17/2018",80,1177,12
"250","10/6/2021","NY",2021,279,"9/5/2019","8/14/2020",762,418,10
"251","10/6/2021","PA",2021,279,"11/7/2017","9/22/2014",1429,2571,3
"252","10/7/2018","PA",2018,280,"11/7/2017","9/22/2014",334,1476,4
"253","10/7/2019","NJ",2019,280,"7/18/2021","7/17/2018",-650,447,3
"254","10/7/2019","PA",2019,280,"11/7/2017","9/22/2014",699,1841,11
"255","10/7/2020","NJ",2020,281,"7/18/2021","7/17/2018",-284,813,10
"256","10/7/2020","PA",2020,281,"11/7/2017","9/22/2014",1065,2207,14
"257","10/7/2021","NJ",2021,280,"7/18/2021","7/17/2018",81,1178,21
"258","10/7/2021","NY",2021,280,"9/5/2019","8/14/2020",763,419,3
"259","10/7/2021","PA",2021,280,"11/7/2017","9/22/2014",1430,2572,9
"260","10/8/2017","PA",2017,281,"11/7/2017","9/22/2014",-30,1112,1
"261","10/8/2018","PA",2018,281,"11/7/2017","9/22/2014",335,1477,4
"262","10/8/2019","PA",2019,281,"11/7/2017","9/22/2014",700,1842,6
"263","10/8/2020","NJ",2020,282,"7/18/2021","7/17/2018",-283,814,7
"264","10/8/2020","NY",2020,282,"9/5/2019","8/14/2020",399,55,1
"265","10/8/2020","PA",2020,282,"11/7/2017","9/22/2014",1066,2208,12
"266","10/8/2021","NJ",2021,281,"7/18/2021","7/17/2018",82,1179,25
"267","10/8/2021","NY",2021,281,"9/5/2019","8/14/2020",764,420,7
"268","10/8/2021","PA",2021,281,"11/7/2017","9/22/2014",1431,2573,15
"269","10/9/2018","PA",2018,282,"11/7/2017","9/22/2014",336,1478,9
"270","10/9/2019","PA",2019,282,"11/7/2017","9/22/2014",701,1843,6
"271","10/9/2020","NJ",2020,283,"7/18/2021","7/17/2018",-282,815,7
"272","10/9/2020","PA",2020,283,"11/7/2017","9/22/2014",1067,2209,18
"273","10/9/2021","NJ",2021,282,"7/18/2021","7/17/2018",83,1180,13
"274","10/9/2021","NY",2021,282,"9/5/2019","8/14/2020",765,421,6
"275","10/9/2021","PA",2021,282,"11/7/2017","9/22/2014",1432,2574,13
"276","11/1/2018","PA",2018,305,"11/7/2017","9/22/2014",359,1501,4
"277","11/1/2019","PA",2019,305,"11/7/2017","9/22/2014",724,1866,1
"278","11/1/2020","NJ",2020,306,"7/18/2021","7/17/2018",-259,838,2
"279","11/1/2020","PA",2020,306,"11/7/2017","9/22/2014",1090,2232,2
"280","11/1/2021","NJ",2021,305,"7/18/2021","7/17/2018",106,1203,2
"281","11/1/2021","PA",2021,305,"11/7/2017","9/22/2014",1455,2597,4
"282","11/10/2017","PA",2017,314,"11/7/2017","9/22/2014",3,1145,1
"283","11/10/2020","NJ",2020,315,"7/18/2021","7/17/2018",-250,847,1
"284","11/10/2020","PA",2020,315,"11/7/2017","9/22/2014",1099,2241,2
"285","11/10/2021","NJ",2021,314,"7/18/2021","7/17/2018",115,1212,3
"286","11/10/2021","NY",2021,314,"9/5/2019","8/14/2020",797,453,1
"287","11/10/2021","PA",2021,314,"11/7/2017","9/22/2014",1464,2606,7
"288","11/11/2020","NJ",2020,316,"7/18/2021","7/17/2018",-249,848,1
"289","11/11/2020","PA",2020,316,"11/7/2017","9/22/2014",1100,2242,1
"290","11/11/2021","NJ",2021,315,"7/18/2021","7/17/2018",116,1213,1
"291","11/11/2021","NY",2021,315,"9/5/2019","8/14/2020",798,454,2
"292","11/11/2021","PA",2021,315,"11/7/2017","9/22/2014",1465,2607,5
"293","11/12/2018","PA",2018,316,"11/7/2017","9/22/2014",370,1512,1
"294","11/12/2020","NJ",2020,317,"7/18/2021","7/17/2018",-248,849,1
"295","11/12/2020","PA",2020,317,"11/7/2017","9/22/2014",1101,2243,1
"296","11/12/2021","NJ",2021,316,"7/18/2021","7/17/2018",117,1214,1
"297","11/12/2021","PA",2021,316,"11/7/2017","9/22/2014",1466,2608,7
"298","11/13/2018","PA",2018,317,"11/7/2017","9/22/2014",371,1513,1
"299","11/13/2019","NJ",2019,317,"7/18/2021","7/17/2018",-613,484,1
"300","11/13/2021","NJ",2021,317,"7/18/2021","7/17/2018",118,1215,1
"301","11/13/2021","NY",2021,317,"9/5/2019","8/14/2020",800,456,1
"302","11/13/2021","PA",2021,317,"11/7/2017","9/22/2014",1467,2609,2
"303","11/14/2020","NJ",2020,319,"7/18/2021","7/17/2018",-246,851,1
"304","11/14/2020","PA",2020,319,"11/7/2017","9/22/2014",1103,2245,1
"305","11/14/2021","NJ",2021,318,"7/18/2021","7/17/2018",119,1216,1
"306","11/14/2021","PA",2021,318,"11/7/2017","9/22/2014",1468,2610,2
"307","11/15/2019","PA",2019,319,"11/7/2017","9/22/2014",738,1880,1
"308","11/15/2021","NY",2021,319,"9/5/2019","8/14/2020",802,458,1
"309","11/16/2020","NJ",2020,321,"7/18/2021","7/17/2018",-244,853,1
"310","11/16/2020","PA",2020,321,"11/7/2017","9/22/2014",1105,2247,3
"311","11/16/2021","PA",2021,320,"11/7/2017","9/22/2014",1470,2612,1
"312","11/17/2017","PA",2017,321,"11/7/2017","9/22/2014",10,1152,1
"313","11/17/2020","NJ",2020,322,"7/18/2021","7/17/2018",-243,854,2
"314","11/17/2021","PA",2021,321,"11/7/2017","9/22/2014",1471,2613,1
"315","11/18/2020","NJ",2020,323,"7/18/2021","7/17/2018",-242,855,1
"316","11/18/2020","PA",2020,323,"11/7/2017","9/22/2014",1107,2249,2
"317","11/18/2021","NY",2021,322,"9/5/2019","8/14/2020",805,461,2
"318","11/18/2021","PA",2021,322,"11/7/2017","9/22/2014",1472,2614,11
"319","11/19/2021","NY",2021,323,"9/5/2019","8/14/2020",806,462,1
"320","11/2/2017","PA",2017,306,"11/7/2017","9/22/2014",-5,1137,1
"321","11/2/2018","PA",2018,306,"11/7/2017","9/22/2014",360,1502,3
"322","11/2/2019","PA",2019,306,"11/7/2017","9/22/2014",725,1867,5
"323","11/2/2020","NJ",2020,307,"7/18/2021","7/17/2018",-258,839,1
"324","11/2/2020","PA",2020,307,"11/7/2017","9/22/2014",1091,2233,4
"325","11/2/2021","NJ",2021,306,"7/18/2021","7/17/2018",107,1204,5
"326","11/2/2021","NY",2021,306,"9/5/2019","8/14/2020",789,445,1
"327","11/2/2021","PA",2021,306,"11/7/2017","9/22/2014",1456,2598,6
"328","11/20/2021","PA",2021,324,"11/7/2017","9/22/2014",1474,2616,1
"329","11/21/2019","PA",2019,325,"11/7/2017","9/22/2014",744,1886,1
"330","11/21/2020","NJ",2020,326,"7/18/2021","7/17/2018",-239,858,3
"331","11/21/2020","PA",2020,326,"11/7/2017","9/22/2014",1110,2252,4
"332","11/21/2021","NJ",2021,325,"7/18/2021","7/17/2018",126,1223,5
"333","11/22/2020","NJ",2020,327,"7/18/2021","7/17/2018",-238,859,1
"334","11/22/2020","PA",2020,327,"11/7/2017","9/22/2014",1111,2253,1
"335","11/23/2020","NJ",2020,328,"7/18/2021","7/17/2018",-237,860,1
"336","11/23/2021","PA",2021,327,"11/7/2017","9/22/2014",1477,2619,3
"337","11/24/2018","PA",2018,328,"11/7/2017","9/22/2014",382,1524,4
"338","11/24/2020","NJ",2020,329,"7/18/2021","7/17/2018",-236,861,2
"339","11/24/2021","PA",2021,328,"11/7/2017","9/22/2014",1478,2620,13
"340","11/25/2017","PA",2017,329,"11/7/2017","9/22/2014",18,1160,1
"341","11/25/2020","NY",2020,330,"9/5/2019","8/14/2020",447,103,1
"342","11/25/2020","PA",2020,330,"11/7/2017","9/22/2014",1114,2256,1
