State,County,Date,Count,Population,PerCapitaPop,LogPerCapita,Year,DOY,DaysSinceFirstSight,DateBeg,DateEnd,FirstInvasion
NJ,Bergen,11/7/2020 - 11/13/2020,1,965856,1.03535E-06,-5.984912382,2020,312,843,11/7/2020, 11/13/2020,
NJ,Bergen,6/5/2021 - 6/11/2021,1,965856,1.03535E-06,-5.984912382,2021,156,1053,6/5/2021, 6/11/2021,
NJ,Bergen,6/19/2021 - 6/25/2021,1,965856,1.03535E-06,-5.984912382,2021,170,1067,6/19/2021, 6/25/2021,
NJ,Bergen,7/3/2021 - 7/9/2021,1,965856,1.03535E-06,-5.984912382,2021,184,1081,7/3/2021, 7/9/2021,
NJ,Bergen,7/10/2021 - 7/16/2021,1,965856,1.03535E-06,-5.984912382,2021,191,1088,7/10/2021, 7/16/2021,
NJ,Bergen,7/24/2021 - 7/30/2021,1,965856,1.03535E-06,-5.984912382,2021,205,1102,7/24/2021, 7/30/2021,
NJ,Bergen,7/31/2021 - 8/6/2021,2,965856,2.0707E-06,-5.683882386,2021,212,1109,7/31/2021, 8/6/2021,
NJ,Bergen,8/7/2021 - 8/13/2021,5,965856,5.17676E-06,-5.285942378,2021,219,1116,8/7/2021, 8/13/2021,
NJ,Bergen,8/14/2021 - 8/20/2021,7,965856,7.24746E-06,-5.139814342,2021,226,1123,8/14/2021, 8/20/2021,
NJ,Bergen,8/21/2021 - 8/27/2021,1,965856,1.03535E-06,-5.984912382,2021,233,1130,8/21/2021, 8/27/2021,
NJ,Bergen,9/4/2021 - 9/10/2021,2,965856,2.0707E-06,-5.683882386,2021,247,1144,9/4/2021, 9/10/2021,
NJ,Bergen,9/11/2021 - 9/17/2021,4,965856,4.1414E-06,-5.382852391,2021,254,1151,9/11/2021, 9/17/2021,
NJ,Bergen,9/18/2021 - 9/24/2021,2,965856,2.0707E-06,-5.683882386,2021,261,1158,9/18/2021, 9/24/2021,
NJ,Bergen,9/25/2021 - 10/1/2021,3,965856,3.10605E-06,-5.507791127,2021,268,1165,9/25/2021, 10/1/2021,
NJ,Bergen,10/2/2021 - 10/8/2021,4,965856,4.1414E-06,-5.382852391,2021,275,1172,10/2/2021, 10/8/2021,
NJ,Bergen,10/9/2021 - 10/15/2021,2,965856,2.0707E-06,-5.683882386,2021,282,1179,10/9/2021, 10/15/2021,
NJ,Bergen,10/16/2021 - 10/22/2021,1,965856,1.03535E-06,-5.984912382,2021,289,1186,10/16/2021, 10/22/2021,
NJ,Bergen,10/30/2021 - 11/5/2021,1,965856,1.03535E-06,-5.984912382,2021,303,1200,10/30/2021, 11/5/2021,
NJ,Bergen,5/7/2022 - 5/13/2022,1,965856,1.03535E-06,-5.984912382,2022,127,1389,5/7/2022, 5/13/2022,
NJ,Bergen,5/21/2022 - 5/27/2022,5,965856,5.17676E-06,-5.285942378,2022,141,1403,5/21/2022, 5/27/2022,
NJ,Bergen,5/28/2022 - 6/3/2022,1,965856,1.03535E-06,-5.984912382,2022,148,1410,5/28/2022, 6/3/2022,
NJ,Bergen,6/4/2022 - 6/10/2022,1,965856,1.03535E-06,-5.984912382,2022,155,1417,6/4/2022, 6/10/2022,
NJ,Bergen,6/11/2022 - 6/17/2022,8,965856,8.28281E-06,-5.081822395,2022,162,1424,6/11/2022, 6/17/2022,
NJ,Bergen,6/18/2022 - 6/24/2022,6,965856,6.21211E-06,-5.206761132,2022,169,1431,6/18/2022, 6/24/2022,
NJ,Bergen,6/25/2022 - 7/1/2022,4,965856,4.1414E-06,-5.382852391,2022,176,1438,6/25/2022, 7/1/2022,
NJ,Bergen,7/2/2022 - 7/8/2022,9,965856,9.31816E-06,-5.030669873,2022,183,1445,7/2/2022, 7/8/2022,
NJ,Bergen,7/9/2022 - 7/15/2022,6,965856,6.21211E-06,-5.206761132,2022,190,1452,7/9/2022, 7/15/2022,
NJ,Bergen,7/16/2022 - 7/22/2022,11,965856,1.13889E-05,-4.943519697,2022,197,1459,7/16/2022, 7/22/2022,
NJ,Bergen,7/23/2022 - 7/29/2022,12,965856,1.24242E-05,-4.905731136,2022,204,1466,7/23/2022, 7/29/2022,
NJ,Bergen,7/30/2022 - 8/5/2022,9,965856,9.31816E-06,-5.030669873,2022,211,1473,7/30/2022, 8/5/2022,
NJ,Bergen,8/6/2022 - 8/12/2022,6,965856,6.21211E-06,-5.206761132,2022,218,1480,8/6/2022, 8/12/2022,
NJ,Bergen,8/13/2022 - 8/19/2022,2,965856,2.0707E-06,-5.683882386,2022,225,1487,8/13/2022, 8/19/2022,
NJ,Bergen,8/20/2022 - 8/26/2022,8,965856,8.28281E-06,-5.081822395,2022,232,1494,8/20/2022, 8/26/2022,
NJ,Bergen,8/27/2022 - 9/2/2022,10,965856,1.03535E-05,-4.984912382,2022,239,1501,8/27/2022, 9/2/2022,
NJ,Bergen,9/3/2022 - 9/9/2022,4,965856,4.1414E-06,-5.382852391,2022,246,1508,9/3/2022, 9/9/2022,
NJ,Burlington,9/14/2019 - 9/20/2019,1,464486,2.15292E-06,-5.666972629,2019,257,423,9/14/2019, 9/20/2019,
NJ,Burlington,9/21/2019 - 9/27/2019,1,464486,2.15292E-06,-5.666972629,2019,264,430,9/21/2019, 9/27/2019,
NJ,Burlington,9/28/2019 - 10/4/2019,2,464486,4.30583E-06,-5.365942633,2019,271,437,9/28/2019, 10/4/2019,
NJ,Burlington,10/5/2019 - 10/11/2019,1,464486,2.15292E-06,-5.666972629,2019,278,444,10/5/2019, 10/11/2019,
NJ,Burlington,10/12/2019 - 10/18/2019,2,464486,4.30583E-06,-5.365942633,2019,285,451,10/12/2019, 10/18/2019,
NJ,Burlington,10/26/2019 - 11/1/2019,4,464486,8.61167E-06,-5.064912637,2019,299,465,10/26/2019, 11/1/2019,
NJ,Burlington,5/16/2020 - 5/22/2020,1,464486,2.15292E-06,-5.666972629,2020,137,668,5/16/2020, 5/22/2020,
NJ,Burlington,5/23/2020 - 5/29/2020,2,464486,4.30583E-06,-5.365942633,2020,144,675,5/23/2020, 5/29/2020,
NJ,Burlington,6/6/2020 - 6/12/2020,5,464486,1.07646E-05,-4.968002624,2020,158,689,6/6/2020, 6/12/2020,
NJ,Burlington,6/13/2020 - 6/19/2020,1,464486,2.15292E-06,-5.666972629,2020,165,696,6/13/2020, 6/19/2020,
NJ,Burlington,6/20/2020 - 6/26/2020,3,464486,6.45875E-06,-5.189851374,2020,172,703,6/20/2020, 6/26/2020,
NJ,Burlington,6/27/2020 - 7/3/2020,1,464486,2.15292E-06,-5.666972629,2020,179,710,6/27/2020, 7/3/2020,
NJ,Burlington,7/4/2020 - 7/10/2020,3,464486,6.45875E-06,-5.189851374,2020,186,717,7/4/2020, 7/10/2020,
NJ,Burlington,7/11/2020 - 7/17/2020,2,464486,4.30583E-06,-5.365942633,2020,193,724,7/11/2020, 7/17/2020,
NJ,Burlington,7/25/2020 - 7/31/2020,11,464486,2.36821E-05,-4.625579943,2020,207,738,7/25/2020, 7/31/2020,
NJ,Burlington,8/1/2020 - 8/7/2020,7,464486,1.50704E-05,-4.821874589,2020,214,745,8/1/2020, 8/7/2020,
NJ,Burlington,8/8/2020 - 8/14/2020,2,464486,4.30583E-06,-5.365942633,2020,221,752,8/8/2020, 8/14/2020,
NJ,Burlington,8/15/2020 - 8/21/2020,2,464486,4.30583E-06,-5.365942633,2020,228,759,8/15/2020, 8/21/2020,
NJ,Burlington,8/22/2020 - 8/28/2020,5,464486,1.07646E-05,-4.968002624,2020,235,766,8/22/2020, 8/28/2020,
NJ,Burlington,8/29/2020 - 9/4/2020,2,464486,4.30583E-06,-5.365942633,2020,242,773,8/29/2020, 9/4/2020,
NJ,Burlington,9/5/2020 - 9/11/2020,2,464486,4.30583E-06,-5.365942633,2020,249,780,9/5/2020, 9/11/2020,
NJ,Burlington,9/12/2020 - 9/18/2020,5,464486,1.07646E-05,-4.968002624,2020,256,787,9/12/2020, 9/18/2020,
NJ,Burlington,9/19/2020 - 9/25/2020,4,464486,8.61167E-06,-5.064912637,2020,263,794,9/19/2020, 9/25/2020,
NJ,Burlington,9/26/2020 - 10/2/2020,4,464486,8.61167E-06,-5.064912637,2020,270,801,9/26/2020, 10/2/2020,
NJ,Burlington,10/3/2020 - 10/9/2020,4,464486,8.61167E-06,-5.064912637,2020,277,808,10/3/2020, 10/9/2020,
NJ,Burlington,10/10/2020 - 10/16/2020,6,464486,1.29175E-05,-4.888821378,2020,284,815,10/10/2020, 10/16/2020,
NJ,Burlington,10/17/2020 - 10/23/2020,1,464486,2.15292E-06,-5.666972629,2020,291,822,10/17/2020, 10/23/2020,
NJ,Burlington,11/7/2020 - 11/13/2020,2,464486,4.30583E-06,-5.365942633,2020,312,843,11/7/2020, 11/13/2020,
NJ,Burlington,2/27/2021 - 3/5/2021,1,464486,2.15292E-06,-5.666972629,2021,58,955,2/27/2021, 3/5/2021,
NJ,Burlington,3/27/2021 - 4/2/2021,1,464486,2.15292E-06,-5.666972629,2021,86,983,3/27/2021, 4/2/2021,
NJ,Burlington,5/1/2021 - 5/7/2021,1,464486,2.15292E-06,-5.666972629,2021,121,1018,5/1/2021, 5/7/2021,
NJ,Burlington,5/8/2021 - 5/14/2021,1,464486,2.15292E-06,-5.666972629,2021,128,1025,5/8/2021, 5/14/2021,
NJ,Burlington,5/15/2021 - 5/21/2021,6,464486,1.29175E-05,-4.888821378,2021,135,1032,5/15/2021, 5/21/2021,
NJ,Burlington,5/22/2021 - 5/28/2021,5,464486,1.07646E-05,-4.968002624,2021,142,1039,5/22/2021, 5/28/2021,
NJ,Burlington,5/29/2021 - 6/4/2021,1,464486,2.15292E-06,-5.666972629,2021,149,1046,5/29/2021, 6/4/2021,
NJ,Burlington,6/5/2021 - 6/11/2021,5,464486,1.07646E-05,-4.968002624,2021,156,1053,6/5/2021, 6/11/2021,
NJ,Burlington,6/12/2021 - 6/18/2021,1,464486,2.15292E-06,-5.666972629,2021,163,1060,6/12/2021, 6/18/2021,
NJ,Burlington,6/19/2021 - 6/25/2021,7,464486,1.50704E-05,-4.821874589,2021,170,1067,6/19/2021, 6/25/2021,
NJ,Burlington,6/26/2021 - 7/2/2021,4,464486,8.61167E-06,-5.064912637,2021,177,1074,6/26/2021, 7/2/2021,
NJ,Burlington,7/3/2021 - 7/9/2021,9,464486,1.93763E-05,-4.712730119,2021,184,1081,7/3/2021, 7/9/2021,
NJ,Burlington,7/10/2021 - 7/16/2021,10,464486,2.15292E-05,-4.666972629,2021,191,1088,7/10/2021, 7/16/2021,
NJ,Burlington,7/17/2021 - 7/23/2021,8,464486,1.72233E-05,-4.763882642,2021,198,1095,7/17/2021, 7/23/2021,
NJ,Burlington,7/24/2021 - 7/30/2021,5,464486,1.07646E-05,-4.968002624,2021,205,1102,7/24/2021, 7/30/2021,
NJ,Burlington,7/31/2021 - 8/6/2021,9,464486,1.93763E-05,-4.712730119,2021,212,1109,7/31/2021, 8/6/2021,
NJ,Burlington,8/7/2021 - 8/13/2021,6,464486,1.29175E-05,-4.888821378,2021,219,1116,8/7/2021, 8/13/2021,
NJ,Burlington,8/14/2021 - 8/20/2021,1,464486,2.15292E-06,-5.666972629,2021,226,1123,8/14/2021, 8/20/2021,
NJ,Burlington,8/21/2021 - 8/27/2021,3,464486,6.45875E-06,-5.189851374,2021,233,1130,8/21/2021, 8/27/2021,
NJ,Burlington,8/28/2021 - 9/3/2021,2,464486,4.30583E-06,-5.365942633,2021,240,1137,8/28/2021, 9/3/2021,
NJ,Burlington,9/4/2021 - 9/10/2021,6,464486,1.29175E-05,-4.888821378,2021,247,1144,9/4/2021, 9/10/2021,
NJ,Burlington,9/11/2021 - 9/17/2021,7,464486,1.50704E-05,-4.821874589,2021,254,1151,9/11/2021, 9/17/2021,
NJ,Burlington,9/18/2021 - 9/24/2021,5,464486,1.07646E-05,-4.968002624,2021,261,1158,9/18/2021, 9/24/2021,
NJ,Burlington,9/25/2021 - 10/1/2021,3,464486,6.45875E-06,-5.189851374,2021,268,1165,9/25/2021, 10/1/2021,
NJ,Burlington,10/2/2021 - 10/8/2021,5,464486,1.07646E-05,-4.968002624,2021,275,1172,10/2/2021, 10/8/2021,
NJ,Burlington,10/9/2021 - 10/15/2021,1,464486,2.15292E-06,-5.666972629,2021,282,1179,10/9/2021, 10/15/2021,
NJ,Burlington,10/16/2021 - 10/22/2021,2,464486,4.30583E-06,-5.365942633,2021,289,1186,10/16/2021, 10/22/2021,
NJ,Burlington,10/23/2021 - 10/29/2021,1,464486,2.15292E-06,-5.666972629,2021,296,1193,10/23/2021, 10/29/2021,
NJ,Burlington,10/30/2021 - 11/5/2021,1,464486,2.15292E-06,-5.666972629,2021,303,1200,10/30/2021, 11/5/2021,
NJ,Burlington,11/6/2021 - 11/12/2021,1,464486,2.15292E-06,-5.666972629,2021,310,1207,11/6/2021, 11/12/2021,
NJ,Burlington,4/2/2022 - 4/8/2022,1,464486,2.15292E-06,-5.666972629,2022,92,1354,4/2/2022, 4/8/2022,
NJ,Burlington,4/30/2022 - 5/6/2022,1,464486,2.15292E-06,-5.666972629,2022,120,1382,4/30/2022, 5/6/2022,
NJ,Burlington,5/14/2022 - 5/20/2022,2,464486,4.30583E-06,-5.365942633,2022,134,1396,5/14/2022, 5/20/2022,
NJ,Burlington,5/21/2022 - 5/27/2022,3,464486,6.45875E-06,-5.189851374,2022,141,1403,5/21/2022, 5/27/2022,
NJ,Burlington,5/28/2022 - 6/3/2022,2,464486,4.30583E-06,-5.365942633,2022,148,1410,5/28/2022, 6/3/2022,
NJ,Burlington,6/4/2022 - 6/10/2022,2,464486,4.30583E-06,-5.365942633,2022,155,1417,6/4/2022, 6/10/2022,
NJ,Burlington,6/11/2022 - 6/17/2022,5,464486,1.07646E-05,-4.968002624,2022,162,1424,6/11/2022, 6/17/2022,
NJ,Burlington,6/18/2022 - 6/24/2022,6,464486,1.29175E-05,-4.888821378,2022,169,1431,6/18/2022, 6/24/2022,
NJ,Burlington,6/25/2022 - 7/1/2022,4,464486,8.61167E-06,-5.064912637,2022,176,1438,6/25/2022, 7/1/2022,
NJ,Burlington,7/2/2022 - 7/8/2022,2,464486,4.30583E-06,-5.365942633,2022,183,1445,7/2/2022, 7/8/2022,
NJ,Burlington,7/9/2022 - 7/15/2022,5,464486,1.07646E-05,-4.968002624,2022,190,1452,7/9/2022, 7/15/2022,
NJ,Burlington,7/16/2022 - 7/22/2022,1,464486,2.15292E-06,-5.666972629,2022,197,1459,7/16/2022, 7/22/2022,
NJ,Burlington,7/23/2022 - 7/29/2022,6,464486,1.29175E-05,-4.888821378,2022,204,1466,7/23/2022, 7/29/2022,
NJ,Burlington,7/30/2022 - 8/5/2022,2,464486,4.30583E-06,-5.365942633,2022,211,1473,7/30/2022, 8/5/2022,
NJ,Burlington,8/6/2022 - 8/12/2022,3,464486,6.45875E-06,-5.189851374,2022,218,1480,8/6/2022, 8/12/2022,
NJ,Burlington,8/13/2022 - 8/19/2022,6,464486,1.29175E-05,-4.888821378,2022,225,1487,8/13/2022, 8/19/2022,
NJ,Burlington,8/20/2022 - 8/26/2022,3,464486,6.45875E-06,-5.189851374,2022,232,1494,8/20/2022, 8/26/2022,
NJ,Burlington,8/27/2022 - 9/2/2022,1,464486,2.15292E-06,-5.666972629,2022,239,1501,8/27/2022, 9/2/2022,
NJ,Burlington,9/3/2022 - 9/9/2022,1,464486,2.15292E-06,-5.666972629,2022,246,1508,9/3/2022, 9/9/2022,
NJ,Camden,9/15/2018 - 9/21/2018,1,525451,1.90313E-06,-5.720532223,2018,258,59,9/15/2018, 9/21/2018,
NJ,Camden,9/7/2019 - 9/13/2019,1,525451,1.90313E-06,-5.720532223,2019,250,416,9/7/2019, 9/13/2019,
NJ,Camden,9/14/2019 - 9/20/2019,3,525451,5.70938E-06,-5.243410968,2019,257,423,9/14/2019, 9/20/2019,
NJ,Camden,9/21/2019 - 9/27/2019,2,525451,3.80625E-06,-5.419502227,2019,264,430,9/21/2019, 9/27/2019,
NJ,Camden,9/28/2019 - 10/4/2019,2,525451,3.80625E-06,-5.419502227,2019,271,437,9/28/2019, 10/4/2019,
NJ,Camden,10/5/2019 - 10/11/2019,2,525451,3.80625E-06,-5.419502227,2019,278,444,10/5/2019, 10/11/2019,
NJ,Camden,10/12/2019 - 10/18/2019,3,525451,5.70938E-06,-5.243410968,2019,285,451,10/12/2019, 10/18/2019,
NJ,Camden,10/19/2019 - 10/25/2019,1,525451,1.90313E-06,-5.720532223,2019,292,458,10/19/2019, 10/25/2019,
NJ,Camden,5/30/2020 - 6/5/2020,2,525451,3.80625E-06,-5.419502227,2020,151,682,5/30/2020, 6/5/2020,
NJ,Camden,6/13/2020 - 6/19/2020,1,525451,1.90313E-06,-5.720532223,2020,165,696,6/13/2020, 6/19/2020,
NJ,Camden,6/20/2020 - 6/26/2020,1,525451,1.90313E-06,-5.720532223,2020,172,703,6/20/2020, 6/26/2020,
NJ,Camden,6/27/2020 - 7/3/2020,1,525451,1.90313E-06,-5.720532223,2020,179,710,6/27/2020, 7/3/2020,
NJ,Camden,7/4/2020 - 7/10/2020,6,525451,1.14188E-05,-4.942380973,2020,186,717,7/4/2020, 7/10/2020,
NJ,Camden,7/11/2020 - 7/17/2020,3,525451,5.70938E-06,-5.243410968,2020,193,724,7/11/2020, 7/17/2020,
NJ,Camden,7/18/2020 - 7/24/2020,2,525451,3.80625E-06,-5.419502227,2020,200,731,7/18/2020, 7/24/2020,
NJ,Camden,7/25/2020 - 7/31/2020,5,525451,9.51564E-06,-5.021562219,2020,207,738,7/25/2020, 7/31/2020,
NJ,Camden,8/1/2020 - 8/7/2020,8,525451,1.5225E-05,-4.817442236,2020,214,745,8/1/2020, 8/7/2020,
NJ,Camden,8/8/2020 - 8/14/2020,3,525451,5.70938E-06,-5.243410968,2020,221,752,8/8/2020, 8/14/2020,
NJ,Camden,8/15/2020 - 8/21/2020,2,525451,3.80625E-06,-5.419502227,2020,228,759,8/15/2020, 8/21/2020,
NJ,Camden,8/22/2020 - 8/28/2020,2,525451,3.80625E-06,-5.419502227,2020,235,766,8/22/2020, 8/28/2020,
NJ,Camden,8/29/2020 - 9/4/2020,7,525451,1.33219E-05,-4.875434183,2020,242,773,8/29/2020, 9/4/2020,
NJ,Camden,9/5/2020 - 9/11/2020,1,525451,1.90313E-06,-5.720532223,2020,249,780,9/5/2020, 9/11/2020,
NJ,Camden,9/12/2020 - 9/18/2020,1,525451,1.90313E-06,-5.720532223,2020,256,787,9/12/2020, 9/18/2020,
NJ,Camden,9/19/2020 - 9/25/2020,4,525451,7.61251E-06,-5.118472232,2020,263,794,9/19/2020, 9/25/2020,
NJ,Camden,9/26/2020 - 10/2/2020,5,525451,9.51564E-06,-5.021562219,2020,270,801,9/26/2020, 10/2/2020,
NJ,Camden,10/3/2020 - 10/9/2020,1,525451,1.90313E-06,-5.720532223,2020,277,808,10/3/2020, 10/9/2020,
NJ,Camden,10/10/2020 - 10/16/2020,2,525451,3.80625E-06,-5.419502227,2020,284,815,10/10/2020, 10/16/2020,
NJ,Camden,10/17/2020 - 10/23/2020,1,525451,1.90313E-06,-5.720532223,2020,291,822,10/17/2020, 10/23/2020,
NJ,Camden,11/7/2020 - 11/13/2020,1,525451,1.90313E-06,-5.720532223,2020,312,843,11/7/2020, 11/13/2020,
NJ,Camden,11/21/2020 - 11/27/2020,1,525451,1.90313E-06,-5.720532223,2020,326,857,11/21/2020, 11/27/2020,
NJ,Camden,5/1/2021 - 5/7/2021,1,525451,1.90313E-06,-5.720532223,2021,121,1018,5/1/2021, 5/7/2021,
NJ,Camden,5/8/2021 - 5/14/2021,1,525451,1.90313E-06,-5.720532223,2021,128,1025,5/8/2021, 5/14/2021,
NJ,Camden,5/15/2021 - 5/21/2021,8,525451,1.5225E-05,-4.817442236,2021,135,1032,5/15/2021, 5/21/2021,
NJ,Camden,5/22/2021 - 5/28/2021,8,525451,1.5225E-05,-4.817442236,2021,142,1039,5/22/2021, 5/28/2021,
NJ,Camden,5/29/2021 - 6/4/2021,13,525451,2.47407E-05,-4.606588871,2021,149,1046,5/29/2021, 6/4/2021,
NJ,Camden,6/5/2021 - 6/11/2021,2,525451,3.80625E-06,-5.419502227,2021,156,1053,6/5/2021, 6/11/2021,
NJ,Camden,6/12/2021 - 6/18/2021,7,525451,1.33219E-05,-4.875434183,2021,163,1060,6/12/2021, 6/18/2021,
NJ,Camden,6/19/2021 - 6/25/2021,3,525451,5.70938E-06,-5.243410968,2021,170,1067,6/19/2021, 6/25/2021,
NJ,Camden,6/26/2021 - 7/2/2021,4,525451,7.61251E-06,-5.118472232,2021,177,1074,6/26/2021, 7/2/2021,
NJ,Camden,7/3/2021 - 7/9/2021,5,525451,9.51564E-06,-5.021562219,2021,184,1081,7/3/2021, 7/9/2021,
NJ,Camden,7/10/2021 - 7/16/2021,9,525451,1.71281E-05,-4.766289713,2021,191,1088,7/10/2021, 7/16/2021,
NJ,Camden,7/17/2021 - 7/23/2021,6,525451,1.14188E-05,-4.942380973,2021,198,1095,7/17/2021, 7/23/2021,
NJ,Camden,7/24/2021 - 7/30/2021,2,525451,3.80625E-06,-5.419502227,2021,205,1102,7/24/2021, 7/30/2021,
NJ,Camden,7/31/2021 - 8/6/2021,7,525451,1.33219E-05,-4.875434183,2021,212,1109,7/31/2021, 8/6/2021,
NJ,Camden,8/7/2021 - 8/13/2021,4,525451,7.61251E-06,-5.118472232,2021,219,1116,8/7/2021, 8/13/2021,
NJ,Camden,8/21/2021 - 8/27/2021,1,525451,1.90313E-06,-5.720532223,2021,233,1130,8/21/2021, 8/27/2021,
NJ,Camden,8/28/2021 - 9/3/2021,2,525451,3.80625E-06,-5.419502227,2021,240,1137,8/28/2021, 9/3/2021,
NJ,Camden,9/4/2021 - 9/10/2021,6,525451,1.14188E-05,-4.942380973,2021,247,1144,9/4/2021, 9/10/2021,
NJ,Camden,9/11/2021 - 9/17/2021,4,525451,7.61251E-06,-5.118472232,2021,254,1151,9/11/2021, 9/17/2021,
NJ,Camden,9/18/2021 - 9/24/2021,4,525451,7.61251E-06,-5.118472232,2021,261,1158,9/18/2021, 9/24/2021,
NJ,Camden,9/25/2021 - 10/1/2021,2,525451,3.80625E-06,-5.419502227,2021,268,1165,9/25/2021, 10/1/2021,
NJ,Camden,10/9/2021 - 10/15/2021,1,525451,1.90313E-06,-5.720532223,2021,282,1179,10/9/2021, 10/15/2021,
NJ,Camden,10/16/2021 - 10/22/2021,2,525451,3.80625E-06,-5.419502227,2021,289,1186,10/16/2021, 10/22/2021,
NJ,Camden,10/23/2021 - 10/29/2021,1,525451,1.90313E-06,-5.720532223,2021,296,1193,10/23/2021, 10/29/2021,
NJ,Camden,10/30/2021 - 11/5/2021,1,525451,1.90313E-06,-5.720532223,2021,303,1200,10/30/2021, 11/5/2021,
NJ,Camden,11/13/2021 - 11/19/2021,1,525451,1.90313E-06,-5.720532223,2021,317,1214,11/13/2021, 11/19/2021,
NJ,Camden,11/27/2021 - 12/3/2021,1,525451,1.90313E-06,-5.720532223,2021,331,1228,11/27/2021, 12/3/2021,
NJ,Camden,2/19/2022 - 2/25/2022,1,525451,1.90313E-06,-5.720532223,2022,50,1312,2/19/2022, 2/25/2022,
NJ,Camden,4/2/2022 - 4/8/2022,1,525451,1.90313E-06,-5.720532223,2022,92,1354,4/2/2022, 4/8/2022,
NJ,Camden,5/7/2022 - 5/13/2022,1,525451,1.90313E-06,-5.720532223,2022,127,1389,5/7/2022, 5/13/2022,
NJ,Camden,5/14/2022 - 5/20/2022,7,525451,1.33219E-05,-4.875434183,2022,134,1396,5/14/2022, 5/20/2022,
NJ,Camden,5/21/2022 - 5/27/2022,7,525451,1.33219E-05,-4.875434183,2022,141,1403,5/21/2022, 5/27/2022,
