"","ObservedDate","County","State","Year","DOY","FirstiNatReport","FirstInvasion","iNatSince","SinceOfficialInvasion","Count2"
"144","8/15/2021","Bronx","NY",2021,227,"9/5/2019","8/14/2020",710,366,2
"145","8/15/2021","Kings","NY",2021,227,"9/5/2019","8/14/2020",710,366,6
"146","8/15/2021","NY","NY",2021,227,"9/5/2019","8/14/2020",710,366,5
"147","8/15/2021","Queens","NY",2021,227,"9/5/2019","8/14/2020",710,366,3
"148","8/15/2021","Richmond","NY",2021,227,"9/5/2019","8/14/2020",710,366,1
"149","7/19/2019","Mercer","NJ",2019,200,"7/18/2021","7/17/2018",-730,367,1
"150","8/16/2021","Kings","NY",2021,228,"9/5/2019","8/14/2020",711,367,2
"151","8/16/2021","NY","NY",2021,228,"9/5/2019","8/14/2020",711,367,8
"152","8/16/2021","Richmond","NY",2021,228,"9/5/2019","8/14/2020",711,367,4
"153","8/16/2021","Westchester","NY",2021,228,"9/5/2019","8/14/2020",711,367,1
"154","8/17/2021","Kings","NY",2021,229,"9/5/2019","8/14/2020",712,368,1
"155","8/17/2021","NY","NY",2021,229,"9/5/2019","8/14/2020",712,368,5
"156","8/17/2021","Richmond","NY",2021,229,"9/5/2019","8/14/2020",712,368,1
"157","8/18/2021","Kings","NY",2021,230,"9/5/2019","8/14/2020",713,369,10
"158","8/18/2021","NY","NY",2021,230,"9/5/2019","8/14/2020",713,369,8
"159","8/18/2021","Richmond","NY",2021,230,"9/5/2019","8/14/2020",713,369,1
"160","8/19/2021","Kings","NY",2021,231,"9/5/2019","8/14/2020",714,370,1
"161","8/19/2021","NY","NY",2021,231,"9/5/2019","8/14/2020",714,370,1
"162","8/19/2021","Richmond","NY",2021,231,"9/5/2019","8/14/2020",714,370,3
"163","8/31/2022","Columbiana","OH",2022,243,"6/29/2022","8/26/2021",63,370,1
"164","8/20/2021","Kings","NY",2021,232,"9/5/2019","8/14/2020",715,371,3
"165","8/20/2021","NY","NY",2021,232,"9/5/2019","8/14/2020",715,371,4
"166","7/24/2019","Hunterdon","NJ",2019,205,"7/18/2021","7/17/2018",-725,372,2
"167","7/24/2019","Somerset","NJ",2019,205,"7/18/2021","7/17/2018",-725,372,1
"168","8/21/2021","Hamilton","NY",2021,233,"9/5/2019","8/14/2020",716,372,1
"169","8/21/2021","Kings","NY",2021,233,"9/5/2019","8/14/2020",716,372,3
"170","8/21/2021","NY","NY",2021,233,"9/5/2019","8/14/2020",716,372,3
"171","8/21/2021","Richmond","NY",2021,233,"9/5/2019","8/14/2020",716,372,1
"172","9/3/2022","Cuyahoga","OH",2022,246,"6/29/2022","8/26/2021",66,373,1
"173","7/26/2019","Hunterdon","NJ",2019,207,"7/18/2021","7/17/2018",-723,374,1
"174","8/23/2021","Kings","NY",2021,235,"9/5/2019","8/14/2020",718,374,1
"175","8/23/2021","NY","NY",2021,235,"9/5/2019","8/14/2020",718,374,3
"176","8/23/2021","Richmond","NY",2021,235,"9/5/2019","8/14/2020",718,374,1
"177","8/24/2021","Kings","NY",2021,236,"9/5/2019","8/14/2020",719,375,3
"178","8/24/2021","NY","NY",2021,236,"9/5/2019","8/14/2020",719,375,11
"179","8/24/2021","Queens","NY",2021,236,"9/5/2019","8/14/2020",719,375,1
"180","8/24/2021","Richmond","NY",2021,236,"9/5/2019","8/14/2020",719,375,2
"181","9/5/2022","Cuyahoga","OH",2022,248,"6/29/2022","8/26/2021",68,375,1
"182","9/5/2022","Fairfield","OH",2022,248,"6/29/2022","8/26/2021",68,375,1
"183","7/28/2019","Mercer","NJ",2019,209,"7/18/2021","7/17/2018",-721,376,1
"184","8/25/2021","Kings","NY",2021,237,"9/5/2019","8/14/2020",720,376,4
"185","8/25/2021","NY","NY",2021,237,"9/5/2019","8/14/2020",720,376,11
"186","8/25/2021","Queens","NY",2021,237,"9/5/2019","8/14/2020",720,376,6
"187","8/25/2021","Richmond","NY",2021,237,"9/5/2019","8/14/2020",720,376,6
"188","9/6/2022","Cuyahoga","OH",2022,249,"6/29/2022","8/26/2021",69,376,1
"189","8/26/2021","Kings","NY",2021,238,"9/5/2019","8/14/2020",721,377,6
"190","8/26/2021","NY","NY",2021,238,"9/5/2019","8/14/2020",721,377,13
"191","8/26/2021","Richmond","NY",2021,238,"9/5/2019","8/14/2020",721,377,4
"192","9/7/2022","Cuyahoga","OH",2022,250,"6/29/2022","8/26/2021",70,377,1
"193","8/27/2021","Kings","NY",2021,239,"9/5/2019","8/14/2020",722,378,1
"194","8/27/2021","NY","NY",2021,239,"9/5/2019","8/14/2020",722,378,8
"195","8/27/2021","Queens","NY",2021,239,"9/5/2019","8/14/2020",722,378,1
"196","7/31/2019","Hudson","NJ",2019,212,"7/18/2021","7/17/2018",-718,379,1
"197","8/28/2021","Kings","NY",2021,240,"9/5/2019","8/14/2020",723,379,1
"198","8/28/2021","NY","NY",2021,240,"9/5/2019","8/14/2020",723,379,14
"199","8/28/2021","Queens","NY",2021,240,"9/5/2019","8/14/2020",723,379,3
"200","8/28/2021","Richmond","NY",2021,240,"9/5/2019","8/14/2020",723,379,4
"201","9/9/2022","Cuyahoga","OH",2022,252,"6/29/2022","8/26/2021",72,379,1
"202","8/29/2021","Kings","NY",2021,241,"9/5/2019","8/14/2020",724,380,6
"203","8/29/2021","NY","NY",2021,241,"9/5/2019","8/14/2020",724,380,7
"204","8/29/2021","Queens","NY",2021,241,"9/5/2019","8/14/2020",724,380,2
"205","8/29/2021","Richmond","NY",2021,241,"9/5/2019","8/14/2020",724,380,4
"206","8/30/2021","Kings","NY",2021,242,"9/5/2019","8/14/2020",725,381,2
"207","8/30/2021","NY","NY",2021,242,"9/5/2019","8/14/2020",725,381,7
"208","8/30/2021","Queens","NY",2021,242,"9/5/2019","8/14/2020",725,381,2
"209","8/30/2021","Richmond","NY",2021,242,"9/5/2019","8/14/2020",725,381,3
"210","8/31/2021","Kings","NY",2021,243,"9/5/2019","8/14/2020",726,382,6
"211","8/31/2021","NY","NY",2021,243,"9/5/2019","8/14/2020",726,382,17
"212","8/31/2021","Richmond","NY",2021,243,"9/5/2019","8/14/2020",726,382,3
"213","8/4/2019","Mercer","NJ",2019,216,"7/18/2021","7/17/2018",-714,383,1
"214","9/1/2021","Bronx","NY",2021,244,"9/5/2019","8/14/2020",727,383,1
"215","9/1/2021","Kings","NY",2021,244,"9/5/2019","8/14/2020",727,383,3
"216","9/1/2021","NY","NY",2021,244,"9/5/2019","8/14/2020",727,383,2
"217","8/5/2019","Hudson","NJ",2019,217,"7/18/2021","7/17/2018",-713,384,1
"218","9/2/2021","Kings","NY",2021,245,"9/5/2019","8/14/2020",728,384,2
"219","9/2/2021","NY","NY",2021,245,"9/5/2019","8/14/2020",728,384,6
"220","9/2/2021","Richmond","NY",2021,245,"9/5/2019","8/14/2020",728,384,3
"221","9/2/2021","Westchester","NY",2021,245,"9/5/2019","8/14/2020",728,384,1
"222","9/3/2021","Kings","NY",2021,246,"9/5/2019","8/14/2020",729,385,4
"223","9/3/2021","NY","NY",2021,246,"9/5/2019","8/14/2020",729,385,12
"224","9/3/2021","Queens","NY",2021,246,"9/5/2019","8/14/2020",729,385,5
"225","9/4/2021","Kings","NY",2021,247,"9/5/2019","8/14/2020",730,386,3
"226","9/4/2021","NY","NY",2021,247,"9/5/2019","8/14/2020",730,386,8
"227","9/4/2021","Queens","NY",2021,247,"9/5/2019","8/14/2020",730,386,1
"228","9/4/2021","Richmond","NY",2021,247,"9/5/2019","8/14/2020",730,386,2
"229","8/8/2019","Mercer","NJ",2019,220,"7/18/2021","7/17/2018",-710,387,1
"230","9/5/2021","Dutchess","NY",2021,248,"9/5/2019","8/14/2020",731,387,1
"231","9/5/2021","Kings","NY",2021,248,"9/5/2019","8/14/2020",731,387,7
"232","9/5/2021","NY","NY",2021,248,"9/5/2019","8/14/2020",731,387,2
"233","9/5/2021","Queens","NY",2021,248,"9/5/2019","8/14/2020",731,387,1
"234","9/5/2021","Richmond","NY",2021,248,"9/5/2019","8/14/2020",731,387,1
"235","8/9/2019","Somerset","NJ",2019,221,"7/18/2021","7/17/2018",-709,388,1
"236","8/9/2019","Warren","NJ",2019,221,"7/18/2021","7/17/2018",-709,388,1
"237","9/6/2021","Kings","NY",2021,249,"9/5/2019","8/14/2020",732,388,8
"238","9/6/2021","Nassau","NY",2021,249,"9/5/2019","8/14/2020",732,388,1
"239","9/6/2021","NY","NY",2021,249,"9/5/2019","8/14/2020",732,388,15
"240","9/6/2021","Queens","NY",2021,249,"9/5/2019","8/14/2020",732,388,3
"241","9/6/2021","Richmond","NY",2021,249,"9/5/2019","8/14/2020",732,388,4
"242","9/7/2021","Kings","NY",2021,250,"9/5/2019","8/14/2020",733,389,3
"243","9/7/2021","NY","NY",2021,250,"9/5/2019","8/14/2020",733,389,28
"244","9/7/2021","Queens","NY",2021,250,"9/5/2019","8/14/2020",733,389,1
"245","9/7/2021","Richmond","NY",2021,250,"9/5/2019","8/14/2020",733,389,5
"246","9/7/2021","Suffolk","NY",2021,250,"9/5/2019","8/14/2020",733,389,1
"247","9/8/2021","Kings","NY",2021,251,"9/5/2019","8/14/2020",734,390,3
"248","9/8/2021","NY","NY",2021,251,"9/5/2019","8/14/2020",734,390,24
"249","9/8/2021","Richmond","NY",2021,251,"9/5/2019","8/14/2020",734,390,1
"250","9/9/2021","Kings","NY",2021,252,"9/5/2019","8/14/2020",735,391,1
"251","9/9/2021","NY","NY",2021,252,"9/5/2019","8/14/2020",735,391,4
"252","8/13/2019","Somerset","NJ",2019,225,"7/18/2021","7/17/2018",-705,392,1
"253","9/10/2021","Kings","NY",2021,253,"9/5/2019","8/14/2020",736,392,4
"254","9/10/2021","NY","NY",2021,253,"9/5/2019","8/14/2020",736,392,5
"255","9/10/2021","Queens","NY",2021,253,"9/5/2019","8/14/2020",736,392,1
"256","9/10/2021","Richmond","NY",2021,253,"9/5/2019","8/14/2020",736,392,2
"257","9/11/2021","Bronx","NY",2021,254,"9/5/2019","8/14/2020",737,393,2
"258","9/11/2021","Kings","NY",2021,254,"9/5/2019","8/14/2020",737,393,4
"259","9/11/2021","NY","NY",2021,254,"9/5/2019","8/14/2020",737,393,20
"260","9/11/2021","Queens","NY",2021,254,"9/5/2019","8/14/2020",737,393,3
"261","9/11/2021","Richmond","NY",2021,254,"9/5/2019","8/14/2020",737,393,7
"262","9/12/2021","Kings","NY",2021,255,"9/5/2019","8/14/2020",738,394,7
"263","9/12/2021","Nassau","NY",2021,255,"9/5/2019","8/14/2020",738,394,2
"264","9/12/2021","NY","NY",2021,255,"9/5/2019","8/14/2020",738,394,19
"265","9/12/2021","Queens","NY",2021,255,"9/5/2019","8/14/2020",738,394,1
"266","9/12/2021","Richmond","NY",2021,255,"9/5/2019","8/14/2020",738,394,4
"267","8/16/2019","Mercer","NJ",2019,228,"7/18/2021","7/17/2018",-702,395,1
"268","8/16/2019","Somerset","NJ",2019,228,"7/18/2021","7/17/2018",-702,395,3
"269","9/13/2021","Bronx","NY",2021,256,"9/5/2019","8/14/2020",739,395,1
"270","9/13/2021","Kings","NY",2021,256,"9/5/2019","8/14/2020",739,395,4
"271","9/13/2021","NY","NY",2021,256,"9/5/2019","8/14/2020",739,395,13
"272","9/13/2021","Queens","NY",2021,256,"9/5/2019","8/14/2020",739,395,1
"273","9/13/2021","Richmond","NY",2021,256,"9/5/2019","8/14/2020",739,395,1
"274","9/14/2021","Kings","NY",2021,257,"9/5/2019","8/14/2020",740,396,7
"275","9/14/2021","NY","NY",2021,257,"9/5/2019","8/14/2020",740,396,14
"276","9/14/2021","Queens","NY",2021,257,"9/5/2019","8/14/2020",740,396,1
"277","9/14/2021","Richmond","NY",2021,257,"9/5/2019","8/14/2020",740,396,3
"278","8/18/2019","Hunterdon","NJ",2019,230,"7/18/2021","7/17/2018",-700,397,1
"279","9/15/2021","Kings","NY",2021,258,"9/5/2019","8/14/2020",741,397,2
"280","9/15/2021","NY","NY",2021,258,"9/5/2019","8/14/2020",741,397,13
"281","9/15/2021","Orange","NY",2021,258,"9/5/2019","8/14/2020",741,397,1
"282","9/15/2021","Queens","NY",2021,258,"9/5/2019","8/14/2020",741,397,1
"283","9/15/2021","Richmond","NY",2021,258,"9/5/2019","8/14/2020",741,397,2
"284","9/16/2021","Kings","NY",2021,259,"9/5/2019","8/14/2020",742,398,3
"285","9/16/2021","NY","NY",2021,259,"9/5/2019","8/14/2020",742,398,9
"286","9/16/2021","Queens","NY",2021,259,"9/5/2019","8/14/2020",742,398,1
"287","9/16/2021","Richmond","NY",2021,259,"9/5/2019","8/14/2020",742,398,2
"288","9/17/2021","Bronx","NY",2021,260,"9/5/2019","8/14/2020",743,399,2
"289","9/17/2021","Kings","NY",2021,260,"9/5/2019","8/14/2020",743,399,4
"290","9/17/2021","NY","NY",2021,260,"9/5/2019","8/14/2020",743,399,6
"291","9/17/2021","Queens","NY",2021,260,"9/5/2019","8/14/2020",743,399,1
"292","8/21/2019","Warren","NJ",2019,233,"7/18/2021","7/17/2018",-697,400,1
"293","9/18/2021","Kings","NY",2021,261,"9/5/2019","8/14/2020",744,400,6
"294","9/18/2021","NY","NY",2021,261,"9/5/2019","8/14/2020",744,400,14
"295","9/18/2021","Queens","NY",2021,261,"9/5/2019","8/14/2020",744,400,2
"296","9/18/2021","Richmond","NY",2021,261,"9/5/2019","8/14/2020",744,400,3
"297","9/19/2021","Kings","NY",2021,262,"9/5/2019","8/14/2020",745,401,4
"298","9/19/2021","Nassau","NY",2021,262,"9/5/2019","8/14/2020",745,401,1
"299","9/19/2021","NY","NY",2021,262,"9/5/2019","8/14/2020",745,401,11
"300","9/19/2021","Queens","NY",2021,262,"9/5/2019","8/14/2020",745,401,1
"301","9/20/2021","Kings","NY",2021,263,"9/5/2019","8/14/2020",746,402,3
"302","9/20/2021","NY","NY",2021,263,"9/5/2019","8/14/2020",746,402,9
"303","9/20/2021","Richmond","NY",2021,263,"9/5/2019","8/14/2020",746,402,1
"304","9/21/2021","Kings","NY",2021,264,"9/5/2019","8/14/2020",747,403,2
"305","9/21/2021","NY","NY",2021,264,"9/5/2019","8/14/2020",747,403,12
"306","9/21/2021","Richmond","NY",2021,264,"9/5/2019","8/14/2020",747,403,2
"307","9/22/2021","Kings","NY",2021,265,"9/5/2019","8/14/2020",748,404,4
"308","9/22/2021","NY","NY",2021,265,"9/5/2019","8/14/2020",748,404,3
"309","9/23/2021","Kings","NY",2021,266,"9/5/2019","8/14/2020",749,405,1
"310","9/23/2021","NY","NY",2021,266,"9/5/2019","8/14/2020",749,405,4
"311","9/23/2021","Queens","NY",2021,266,"9/5/2019","8/14/2020",749,405,1
"312","9/24/2021","Kings","NY",2021,267,"9/5/2019","8/14/2020",750,406,2
"313","9/24/2021","NY","NY",2021,267,"9/5/2019","8/14/2020",750,406,5
"314","9/24/2021","Queens","NY",2021,267,"9/5/2019","8/14/2020",750,406,1
"315","9/24/2021","Richmond","NY",2021,267,"9/5/2019","8/14/2020",750,406,2
"316","9/25/2021","Bronx","NY",2021,268,"9/5/2019","8/14/2020",751,407,1
"317","9/25/2021","Kings","NY",2021,268,"9/5/2019","8/14/2020",751,407,4
"318","9/25/2021","NY","NY",2021,268,"9/5/2019","8/14/2020",751,407,6
