,ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
5495,8/25/2022,Cuyahoga,OH,2022,237,6/29/2022,8/26/2021,57,364,1
4738,8/13/2021,Kings,NY,2021,225,9/5/2019,8/14/2020,708,364,2
4748,8/13/2021,Queens,NY,2021,225,9/5/2019,8/14/2020,708,364,2
4746,8/13/2021,NY,NY,2021,225,9/5/2019,8/14/2020,708,364,12
3292,7/17/2019,Mercer,NJ,2019,198,7/18/2021,7/17/2018,-732,365,1
4793,8/14/2021,Bronx,NY,2021,226,9/5/2019,8/14/2020,709,365,2
4812,8/14/2021,Richmond,NY,2021,226,9/5/2019,8/14/2020,709,365,2
4811,8/14/2021,Queens,NY,2021,226,9/5/2019,8/14/2020,709,365,4
4798,8/14/2021,Kings,NY,2021,226,9/5/2019,8/14/2020,709,365,6
4808,8/14/2021,NY,NY,2021,226,9/5/2019,8/14/2020,709,365,7
4876,8/15/2021,Richmond,NY,2021,227,9/5/2019,8/14/2020,710,366,1
4857,8/15/2021,Bronx,NY,2021,227,9/5/2019,8/14/2020,710,366,2
4875,8/15/2021,Queens,NY,2021,227,9/5/2019,8/14/2020,710,366,3
4871,8/15/2021,NY,NY,2021,227,9/5/2019,8/14/2020,710,366,5
4865,8/15/2021,Kings,NY,2021,227,9/5/2019,8/14/2020,710,366,6
3392,7/19/2019,Mercer,NJ,2019,200,7/18/2021,7/17/2018,-730,367,1
4931,8/16/2021,Westchester,NY,2021,228,9/5/2019,8/14/2020,711,367,1
4921,8/16/2021,Kings,NY,2021,228,9/5/2019,8/14/2020,711,367,2
4928,8/16/2021,Richmond,NY,2021,228,9/5/2019,8/14/2020,711,367,4
4926,8/16/2021,NY,NY,2021,228,9/5/2019,8/14/2020,711,367,8
4969,8/17/2021,Kings,NY,2021,229,9/5/2019,8/14/2020,712,368,1
4976,8/17/2021,Richmond,NY,2021,229,9/5/2019,8/14/2020,712,368,1
4974,8/17/2021,NY,NY,2021,229,9/5/2019,8/14/2020,712,368,5
5027,8/18/2021,Richmond,NY,2021,230,9/5/2019,8/14/2020,713,369,1
5026,8/18/2021,NY,NY,2021,230,9/5/2019,8/14/2020,713,369,8
5021,8/18/2021,Kings,NY,2021,230,9/5/2019,8/14/2020,713,369,10
5075,8/19/2021,Kings,NY,2021,231,9/5/2019,8/14/2020,714,370,1
5080,8/19/2021,NY,NY,2021,231,9/5/2019,8/14/2020,714,370,1
5883,8/31/2022,Columbiana,OH,2022,243,6/29/2022,8/26/2021,63,370,1
5082,8/19/2021,Richmond,NY,2021,231,9/5/2019,8/14/2020,714,370,3
5189,8/20/2021,Kings,NY,2021,232,9/5/2019,8/14/2020,715,371,3
5195,8/20/2021,NY,NY,2021,232,9/5/2019,8/14/2020,715,371,4
3700,7/24/2019,Somerset,NJ,2019,205,7/18/2021,7/17/2018,-725,372,1
5255,8/21/2021,Hamilton,NY,2021,233,9/5/2019,8/14/2020,716,372,1
5267,8/21/2021,Richmond,NY,2021,233,9/5/2019,8/14/2020,716,372,1
3697,7/24/2019,Hunterdon,NJ,2019,205,7/18/2021,7/17/2018,-725,372,2
5256,8/21/2021,Kings,NY,2021,233,9/5/2019,8/14/2020,716,372,3
5264,8/21/2021,NY,NY,2021,233,9/5/2019,8/14/2020,716,372,3
7222,9/3/2022,Cuyahoga,OH,2022,246,6/29/2022,8/26/2021,66,373,1
3796,7/26/2019,Hunterdon,NJ,2019,207,7/18/2021,7/17/2018,-723,374,1
5369,8/23/2021,Kings,NY,2021,235,9/5/2019,8/14/2020,718,374,1
5376,8/23/2021,Richmond,NY,2021,235,9/5/2019,8/14/2020,718,374,1
5374,8/23/2021,NY,NY,2021,235,9/5/2019,8/14/2020,718,374,3
5432,8/24/2021,Queens,NY,2021,236,9/5/2019,8/14/2020,719,375,1
7386,9/5/2022,Cuyahoga,OH,2022,248,6/29/2022,8/26/2021,68,375,1
7389,9/5/2022,Fairfield,OH,2022,248,6/29/2022,8/26/2021,68,375,1
5433,8/24/2021,Richmond,NY,2021,236,9/5/2019,8/14/2020,719,375,2
5423,8/24/2021,Kings,NY,2021,236,9/5/2019,8/14/2020,719,375,3
5430,8/24/2021,NY,NY,2021,236,9/5/2019,8/14/2020,719,375,11
3906,7/28/2019,Mercer,NJ,2019,209,7/18/2021,7/17/2018,-721,376,1
7451,9/6/2022,Cuyahoga,OH,2022,249,6/29/2022,8/26/2021,69,376,1
5479,8/25/2021,Kings,NY,2021,237,9/5/2019,8/14/2020,720,376,4
5485,8/25/2021,Queens,NY,2021,237,9/5/2019,8/14/2020,720,376,6
5486,8/25/2021,Richmond,NY,2021,237,9/5/2019,8/14/2020,720,376,6
5484,8/25/2021,NY,NY,2021,237,9/5/2019,8/14/2020,720,376,11
7508,9/7/2022,Cuyahoga,OH,2022,250,6/29/2022,8/26/2021,70,377,1
5540,8/26/2021,Richmond,NY,2021,238,9/5/2019,8/14/2020,721,377,4
5532,8/26/2021,Kings,NY,2021,238,9/5/2019,8/14/2020,721,377,6
5538,8/26/2021,NY,NY,2021,238,9/5/2019,8/14/2020,721,377,13
5585,8/27/2021,Kings,NY,2021,239,9/5/2019,8/14/2020,722,378,1
5595,8/27/2021,Queens,NY,2021,239,9/5/2019,8/14/2020,722,378,1
5593,8/27/2021,NY,NY,2021,239,9/5/2019,8/14/2020,722,378,8
4126,7/31/2019,Hudson,NJ,2019,212,7/18/2021,7/17/2018,-718,379,1
5641,8/28/2021,Kings,NY,2021,240,9/5/2019,8/14/2020,723,379,1
7617,9/9/2022,Cuyahoga,OH,2022,252,6/29/2022,8/26/2021,72,379,1
5650,8/28/2021,Queens,NY,2021,240,9/5/2019,8/14/2020,723,379,3
5651,8/28/2021,Richmond,NY,2021,240,9/5/2019,8/14/2020,723,379,4
5646,8/28/2021,NY,NY,2021,240,9/5/2019,8/14/2020,723,379,14
5703,8/29/2021,Queens,NY,2021,241,9/5/2019,8/14/2020,724,380,2
5704,8/29/2021,Richmond,NY,2021,241,9/5/2019,8/14/2020,724,380,4
5694,8/29/2021,Kings,NY,2021,241,9/5/2019,8/14/2020,724,380,6
5701,8/29/2021,NY,NY,2021,241,9/5/2019,8/14/2020,724,380,7
5816,8/30/2021,Kings,NY,2021,242,9/5/2019,8/14/2020,725,381,2
5823,8/30/2021,Queens,NY,2021,242,9/5/2019,8/14/2020,725,381,2
5824,8/30/2021,Richmond,NY,2021,242,9/5/2019,8/14/2020,725,381,3
5821,8/30/2021,NY,NY,2021,242,9/5/2019,8/14/2020,725,381,7
5875,8/31/2021,Richmond,NY,2021,243,9/5/2019,8/14/2020,726,382,3
5865,8/31/2021,Kings,NY,2021,243,9/5/2019,8/14/2020,726,382,6
5872,8/31/2021,NY,NY,2021,243,9/5/2019,8/14/2020,726,382,17
5898,8/4/2019,Mercer,NJ,2019,216,7/18/2021,7/17/2018,-714,383,1
6286,9/1/2021,Bronx,NY,2021,244,9/5/2019,8/14/2020,727,383,1
6293,9/1/2021,NY,NY,2021,244,9/5/2019,8/14/2020,727,383,2
6288,9/1/2021,Kings,NY,2021,244,9/5/2019,8/14/2020,727,383,3
5960,8/5/2019,Hudson,NJ,2019,217,7/18/2021,7/17/2018,-713,384,1
6786,9/2/2021,Westchester,NY,2021,245,9/5/2019,8/14/2020,728,384,1
6774,9/2/2021,Kings,NY,2021,245,9/5/2019,8/14/2020,728,384,2
6783,9/2/2021,Richmond,NY,2021,245,9/5/2019,8/14/2020,728,384,3
6781,9/2/2021,NY,NY,2021,245,9/5/2019,8/14/2020,728,384,6
7209,9/3/2021,Kings,NY,2021,246,9/5/2019,8/14/2020,729,385,4
7217,9/3/2021,Queens,NY,2021,246,9/5/2019,8/14/2020,729,385,5
7215,9/3/2021,NY,NY,2021,246,9/5/2019,8/14/2020,729,385,12
7321,9/4/2021,Queens,NY,2021,247,9/5/2019,8/14/2020,730,386,1
7322,9/4/2021,Richmond,NY,2021,247,9/5/2019,8/14/2020,730,386,2
7312,9/4/2021,Kings,NY,2021,247,9/5/2019,8/14/2020,730,386,3
7317,9/4/2021,NY,NY,2021,247,9/5/2019,8/14/2020,730,386,8
6157,8/8/2019,Mercer,NJ,2019,220,7/18/2021,7/17/2018,-710,387,1
7376,9/5/2021,Dutchess,NY,2021,248,9/5/2019,8/14/2020,731,387,1
7381,9/5/2021,Queens,NY,2021,248,9/5/2019,8/14/2020,731,387,1
7382,9/5/2021,Richmond,NY,2021,248,9/5/2019,8/14/2020,731,387,1
7379,9/5/2021,NY,NY,2021,248,9/5/2019,8/14/2020,731,387,2
7378,9/5/2021,Kings,NY,2021,248,9/5/2019,8/14/2020,731,387,7
6217,8/9/2019,Somerset,NJ,2019,221,7/18/2021,7/17/2018,-709,388,1
6218,8/9/2019,Warren,NJ,2019,221,7/18/2021,7/17/2018,-709,388,1
7439,9/6/2021,Nassau,NY,2021,249,9/5/2019,8/14/2020,732,388,1
7444,9/6/2021,Queens,NY,2021,249,9/5/2019,8/14/2020,732,388,3
7445,9/6/2021,Richmond,NY,2021,249,9/5/2019,8/14/2020,732,388,4
7434,9/6/2021,Kings,NY,2021,249,9/5/2019,8/14/2020,732,388,8
7440,9/6/2021,NY,NY,2021,249,9/5/2019,8/14/2020,732,388,15
7501,9/7/2021,Queens,NY,2021,250,9/5/2019,8/14/2020,733,389,1
7504,9/7/2021,Suffolk,NY,2021,250,9/5/2019,8/14/2020,733,389,1
7491,9/7/2021,Kings,NY,2021,250,9/5/2019,8/14/2020,733,389,3
7502,9/7/2021,Richmond,NY,2021,250,9/5/2019,8/14/2020,733,389,5
7497,9/7/2021,NY,NY,2021,250,9/5/2019,8/14/2020,733,389,28
7555,9/8/2021,Richmond,NY,2021,251,9/5/2019,8/14/2020,734,390,1
7549,9/8/2021,Kings,NY,2021,251,9/5/2019,8/14/2020,734,390,3
7553,9/8/2021,NY,NY,2021,251,9/5/2019,8/14/2020,734,390,24
7599,9/9/2021,Kings,NY,2021,252,9/5/2019,8/14/2020,735,391,1
7609,9/9/2021,NY,NY,2021,252,9/5/2019,8/14/2020,735,391,4
4718,8/13/2019,Somerset,NJ,2019,225,7/18/2021,7/17/2018,-705,392,1
6339,9/10/2021,Queens,NY,2021,253,9/5/2019,8/14/2020,736,392,1
6340,9/10/2021,Richmond,NY,2021,253,9/5/2019,8/14/2020,736,392,2
6329,9/10/2021,Kings,NY,2021,253,9/5/2019,8/14/2020,736,392,4
6336,9/10/2021,NY,NY,2021,253,9/5/2019,8/14/2020,736,392,5
6365,9/11/2021,Bronx,NY,2021,254,9/5/2019,8/14/2020,737,393,2
6384,9/11/2021,Queens,NY,2021,254,9/5/2019,8/14/2020,737,393,3
6373,9/11/2021,Kings,NY,2021,254,9/5/2019,8/14/2020,737,393,4
6385,9/11/2021,Richmond,NY,2021,254,9/5/2019,8/14/2020,737,393,7
6380,9/11/2021,NY,NY,2021,254,9/5/2019,8/14/2020,737,393,20
6434,9/12/2021,Queens,NY,2021,255,9/5/2019,8/14/2020,738,394,1
6431,9/12/2021,Nassau,NY,2021,255,9/5/2019,8/14/2020,738,394,2
6435,9/12/2021,Richmond,NY,2021,255,9/5/2019,8/14/2020,738,394,4
6424,9/12/2021,Kings,NY,2021,255,9/5/2019,8/14/2020,738,394,7
6432,9/12/2021,NY,NY,2021,255,9/5/2019,8/14/2020,738,394,19
4901,8/16/2019,Mercer,NJ,2019,228,7/18/2021,7/17/2018,-702,395,1
6458,9/13/2021,Bronx,NY,2021,256,9/5/2019,8/14/2020,739,395,1
6469,9/13/2021,Queens,NY,2021,256,9/5/2019,8/14/2020,739,395,1
6470,9/13/2021,Richmond,NY,2021,256,9/5/2019,8/14/2020,739,395,1
4903,8/16/2019,Somerset,NJ,2019,228,7/18/2021,7/17/2018,-702,395,3
6463,9/13/2021,Kings,NY,2021,256,9/5/2019,8/14/2020,739,395,4
6468,9/13/2021,NY,NY,2021,256,9/5/2019,8/14/2020,739,395,13
6515,9/14/2021,Queens,NY,2021,257,9/5/2019,8/14/2020,740,396,1
6516,9/14/2021,Richmond,NY,2021,257,9/5/2019,8/14/2020,740,396,3
6504,9/14/2021,Kings,NY,2021,257,9/5/2019,8/14/2020,740,396,7
6511,9/14/2021,NY,NY,2021,257,9/5/2019,8/14/2020,740,396,14
5005,8/18/2019,Hunterdon,NJ,2019,230,7/18/2021,7/17/2018,-700,397,1
6561,9/15/2021,Orange,NY,2021,258,9/5/2019,8/14/2020,741,397,1
6565,9/15/2021,Queens,NY,2021,258,9/5/2019,8/14/2020,741,397,1
6554,9/15/2021,Kings,NY,2021,258,9/5/2019,8/14/2020,741,397,2
6566,9/15/2021,Richmond,NY,2021,258,9/5/2019,8/14/2020,741,397,2
6560,9/15/2021,NY,NY,2021,258,9/5/2019,8/14/2020,741,397,13
6607,9/16/2021,Queens,NY,2021,259,9/5/2019,8/14/2020,742,398,1
6608,9/16/2021,Richmond,NY,2021,259,9/5/2019,8/14/2020,742,398,2
6599,9/16/2021,Kings,NY,2021,259,9/5/2019,8/14/2020,742,398,3
6603,9/16/2021,NY,NY,2021,259,9/5/2019,8/14/2020,742,398,9
6655,9/17/2021,Queens,NY,2021,260,9/5/2019,8/14/2020,743,399,1
6641,9/17/2021,Bronx,NY,2021,260,9/5/2019,8/14/2020,743,399,2
6647,9/17/2021,Kings,NY,2021,260,9/5/2019,8/14/2020,743,399,4
6652,9/17/2021,NY,NY,2021,260,9/5/2019,8/14/2020,743,399,6
5233,8/21/2019,Warren,NJ,2019,233,7/18/2021,7/17/2018,-697,400,1
6701,9/18/2021,Queens,NY,2021,261,9/5/2019,8/14/2020,744,400,2
6702,9/18/2021,Richmond,NY,2021,261,9/5/2019,8/14/2020,744,400,3
6690,9/18/2021,Kings,NY,2021,261,9/5/2019,8/14/2020,744,400,6
6698,9/18/2021,NY,NY,2021,261,9/5/2019,8/14/2020,744,400,14
6748,9/19/2021,Nassau,NY,2021,262,9/5/2019,8/14/2020,745,401,1
6752,9/19/2021,Queens,NY,2021,262,9/5/2019,8/14/2020,745,401,1
6744,9/19/2021,Kings,NY,2021,262,9/5/2019,8/14/2020,745,401,4
6749,9/19/2021,NY,NY,2021,262,9/5/2019,8/14/2020,745,401,11
6828,9/20/2021,Richmond,NY,2021,263,9/5/2019,8/14/2020,746,402,1
6819,9/20/2021,Kings,NY,2021,263,9/5/2019,8/14/2020,746,402,3
6826,9/20/2021,NY,NY,2021,263,9/5/2019,8/14/2020,746,402,9
6850,9/21/2021,Kings,NY,2021,264,9/5/2019,8/14/2020,747,403,2
6857,9/21/2021,Richmond,NY,2021,264,9/5/2019,8/14/2020,747,403,2
6854,9/21/2021,NY,NY,2021,264,9/5/2019,8/14/2020,747,403,12
6887,9/22/2021,NY,NY,2021,265,9/5/2019,8/14/2020,748,404,3
6882,9/22/2021,Kings,NY,2021,265,9/5/2019,8/14/2020,748,404,4
6915,9/23/2021,Kings,NY,2021,266,9/5/2019,8/14/2020,749,405,1
6922,9/23/2021,Queens,NY,2021,266,9/5/2019,8/14/2020,749,405,1
6920,9/23/2021,NY,NY,2021,266,9/5/2019,8/14/2020,749,405,4
6967,9/24/2021,Queens,NY,2021,267,9/5/2019,8/14/2020,750,406,1
6958,9/24/2021,Kings,NY,2021,267,9/5/2019,8/14/2020,750,406,2
6968,9/24/2021,Richmond,NY,2021,267,9/5/2019,8/14/2020,750,406,2
6964,9/24/2021,NY,NY,2021,267,9/5/2019,8/14/2020,750,406,5
7003,9/25/2021,Bronx,NY,2021,268,9/5/2019,8/14/2020,751,407,1
7024,9/25/2021,Queens,NY,2021,268,9/5/2019,8/14/2020,751,407,1
7025,9/25/2021,Richmond,NY,2021,268,9/5/2019,8/14/2020,751,407,1
7012,9/25/2021,Kings,NY,2021,268,9/5/2019,8/14/2020,751,407,4
7021,9/25/2021,NY,NY,2021,268,9/5/2019,8/14/2020,751,407,6
7062,9/26/2021,Kings,NY,2021,269,9/5/2019,8/14/2020,752,408,1
7070,9/26/2021,Queens,NY,2021,269,9/5/2019,8/14/2020,752,408,1
7071,9/26/2021,Richmond,NY,2021,269,9/5/2019,8/14/2020,752,408,1
7067,9/26/2021,NY,NY,2021,269,9/5/2019,8/14/2020,752,408,6
7107,9/27/2021,Kings,NY,2021,270,9/5/2019,8/14/2020,753,409,3
7110,9/27/2021,NY,NY,2021,270,9/5/2019,8/14/2020,753,409,15
