ObservedDate,County,State,Year,DOY,FirstiNatReport,FirstInvasion,iNatSince,SinceOfficialInvasion,Count2
9/17/2019,Camden,NJ,2019,260,7/18/2021,7/17/2018,-670,427,1
9/17/2019,Somerset,NJ,2019,260,7/18/2021,7/17/2018,-670,427,1
9/18/2019,Camden,NJ,2019,261,7/18/2021,7/17/2018,-669,428,1
9/19/2019,Hunterdon,NJ,2019,262,7/18/2021,7/17/2018,-668,429,1
9/20/2019,Somerset,NJ,2019,263,7/18/2021,7/17/2018,-667,430,2
9/21/2019,Hunterdon,NJ,2019,264,7/18/2021,7/17/2018,-666,431,1
9/22/2019,Warren,NJ,2019,265,7/18/2021,7/17/2018,-665,432,2
9/24/2019,Camden,NJ,2019,267,7/18/2021,7/17/2018,-663,434,1
9/25/2019,Burlington,NJ,2019,268,7/18/2021,7/17/2018,-662,435,1
9/25/2019,Camden,NJ,2019,268,7/18/2021,7/17/2018,-662,435,1
9/25/2019,Essex,NJ,2019,268,7/18/2021,7/17/2018,-662,435,1
9/25/2019,Gloucester,NJ,2019,268,7/18/2021,7/17/2018,-662,435,1
9/27/2019,Warren,NJ,2019,270,7/18/2021,7/17/2018,-660,437,1
9/27/2019,Somerset,NJ,2019,270,7/18/2021,7/17/2018,-660,437,2
9/28/2019,Camden,NJ,2019,271,7/18/2021,7/17/2018,-659,438,1
9/29/2019,Burlington,NJ,2019,272,7/18/2021,7/17/2018,-658,439,1
9/29/2019,Morris,NJ,2019,272,7/18/2021,7/17/2018,-658,439,1
10/1/2019,Gloucester,NJ,2019,274,7/18/2021,7/17/2018,-656,441,1
10/1/2019,Hunterdon,NJ,2019,274,7/18/2021,7/17/2018,-656,441,1
10/1/2019,Warren,NJ,2019,274,7/18/2021,7/17/2018,-656,441,1
10/2/2019,Camden,NJ,2019,275,7/18/2021,7/17/2018,-655,442,1
10/4/2019,Burlington,NJ,2019,277,7/18/2021,7/17/2018,-653,444,1
10/5/2019,Camden,NJ,2019,278,7/18/2021,7/17/2018,-652,445,1
10/5/2019,Hunterdon,NJ,2019,278,7/18/2021,7/17/2018,-652,445,2
10/6/2019,Hunterdon,NJ,2019,279,7/18/2021,7/17/2018,-651,446,1
10/6/2019,Warren,NJ,2019,279,7/18/2021,7/17/2018,-651,446,1
10/7/2019,Camden,NJ,2019,280,7/18/2021,7/17/2018,-650,447,1
10/7/2019,Mercer,NJ,2019,280,7/18/2021,7/17/2018,-650,447,1
10/7/2019,Somerset,NJ,2019,280,7/18/2021,7/17/2018,-650,447,1
10/10/2019,Burlington,NJ,2019,283,7/18/2021,7/17/2018,-647,450,1
10/12/2019,Gloucester,NJ,2019,285,7/18/2021,7/17/2018,-645,452,1
10/13/2019,Camden,NJ,2019,286,7/18/2021,7/17/2018,-644,453,1
10/13/2019,Sussex,NJ,2019,286,7/18/2021,7/17/2018,-644,453,1
10/14/2019,Camden,NJ,2019,287,7/18/2021,7/17/2018,-643,454,1
10/14/2019,Burlington,NJ,2019,287,7/18/2021,7/17/2018,-643,454,2
10/15/2019,Camden,NJ,2019,288,7/18/2021,7/17/2018,-642,455,1
10/15/2019,Middlesex,NJ,2019,288,7/18/2021,7/17/2018,-642,455,1
10/19/2019,Gloucester,NJ,2019,292,7/18/2021,7/17/2018,-638,459,1
10/23/2019,Hunterdon,NJ,2019,296,7/18/2021,7/17/2018,-634,463,2
10/24/2019,Camden,NJ,2019,297,7/18/2021,7/17/2018,-633,464,1
10/25/2019,Warren,NJ,2019,298,7/18/2021,7/17/2018,-632,465,1
10/26/2019,Gloucester,NJ,2019,299,7/18/2021,7/17/2018,-631,466,1
10/26/2019,Burlington,NJ,2019,299,7/18/2021,7/17/2018,-631,466,4
10/29/2019,Hunterdon,NJ,2019,302,7/18/2021,7/17/2018,-628,469,1
10/29/2019,Somerset,NJ,2019,302,7/18/2021,7/17/2018,-628,469,1
10/30/2019,Passaic,NJ,2019,303,7/18/2021,7/17/2018,-627,470,1
11/4/2019,Morris,NJ,2019,308,7/18/2021,7/17/2018,-622,475,1
11/13/2019,Mercer,NJ,2019,317,7/18/2021,7/17/2018,-613,484,1
3/26/2020,Mercer,NJ,2020,86,7/18/2021,7/17/2018,-479,618,1
5/21/2020,Burlington,NJ,2020,142,7/18/2021,7/17/2018,-423,674,1
5/21/2020,Gloucester,NJ,2020,142,7/18/2021,7/17/2018,-423,674,2
5/27/2020,Burlington,NJ,2020,148,7/18/2021,7/17/2018,-417,680,1
5/28/2020,Burlington,NJ,2020,149,7/18/2021,7/17/2018,-416,681,1
6/1/2020,Gloucester,NJ,2020,153,7/18/2021,7/17/2018,-412,685,1
6/2/2020,Camden,NJ,2020,154,7/18/2021,7/17/2018,-411,686,1
6/4/2020,Camden,NJ,2020,156,7/18/2021,7/17/2018,-409,688,1
6/6/2020,Burlington,NJ,2020,158,7/18/2021,7/17/2018,-407,690,1
6/6/2020,Somerset,NJ,2020,158,7/18/2021,7/17/2018,-407,690,1
6/7/2020,Gloucester,NJ,2020,159,7/18/2021,7/17/2018,-406,691,1
6/8/2020,Gloucester,NJ,2020,160,7/18/2021,7/17/2018,-405,692,1
6/10/2020,Burlington,NJ,2020,162,7/18/2021,7/17/2018,-403,694,1
6/11/2020,Hunterdon,NJ,2020,163,7/18/2021,7/17/2018,-402,695,1
6/12/2020,Burlington,NJ,2020,164,7/18/2021,7/17/2018,-401,696,3
6/13/2020,Camden,NJ,2020,165,7/18/2021,7/17/2018,-400,697,1
6/13/2020,Gloucester,NJ,2020,165,7/18/2021,7/17/2018,-400,697,1
6/13/2020,Hunterdon,NJ,2020,165,7/18/2021,7/17/2018,-400,697,1
6/14/2020,Gloucester,NJ,2020,166,7/18/2021,7/17/2018,-399,698,1
6/16/2020,Hunterdon,NJ,2020,168,7/18/2021,7/17/2018,-397,700,1
6/17/2020,Burlington,NJ,2020,169,7/18/2021,7/17/2018,-396,701,1
6/18/2020,Hunterdon,NJ,2020,170,7/18/2021,7/17/2018,-395,702,1
6/19/2020,Monmouth,NJ,2020,171,7/18/2021,7/17/2018,-394,703,1
6/20/2020,Burlington,NJ,2020,172,7/18/2021,7/17/2018,-393,704,1
6/20/2020,Warren,NJ,2020,172,7/18/2021,7/17/2018,-393,704,1
6/21/2020,Hunterdon,NJ,2020,173,7/18/2021,7/17/2018,-392,705,1
6/21/2020,Somerset,NJ,2020,173,7/18/2021,7/17/2018,-392,705,1
6/22/2020,Hunterdon,NJ,2020,174,7/18/2021,7/17/2018,-391,706,1
6/25/2020,Burlington,NJ,2020,177,7/18/2021,7/17/2018,-388,709,1
6/26/2020,Burlington,NJ,2020,178,7/18/2021,7/17/2018,-387,710,1
6/26/2020,Camden,NJ,2020,178,7/18/2021,7/17/2018,-387,710,1
6/27/2020,Mercer,NJ,2020,179,7/18/2021,7/17/2018,-386,711,1
6/27/2020,Hunterdon,NJ,2020,179,7/18/2021,7/17/2018,-386,711,3
6/28/2020,Camden,NJ,2020,180,7/18/2021,7/17/2018,-385,712,1
6/28/2020,Somerset,NJ,2020,180,7/18/2021,7/17/2018,-385,712,1
6/28/2020,Hunterdon,NJ,2020,180,7/18/2021,7/17/2018,-385,712,2
6/28/2020,Gloucester,NJ,2020,180,7/18/2021,7/17/2018,-385,712,3
6/29/2020,Burlington,NJ,2020,181,7/18/2021,7/17/2018,-384,713,1
6/29/2020,Somerset,NJ,2020,181,7/18/2021,7/17/2018,-384,713,1
6/30/2020,Hunterdon,NJ,2020,182,7/18/2021,7/17/2018,-383,714,1
6/30/2020,Somerset,NJ,2020,182,7/18/2021,7/17/2018,-383,714,1
7/2/2020,Gloucester,NJ,2020,184,7/18/2021,7/17/2018,-381,716,1
7/2/2020,Hunterdon,NJ,2020,184,7/18/2021,7/17/2018,-381,716,1
7/3/2020,Hunterdon,NJ,2020,185,7/18/2021,7/17/2018,-380,717,1
7/3/2020,Mercer,NJ,2020,185,7/18/2021,7/17/2018,-380,717,1
7/4/2020,Gloucester,NJ,2020,186,7/18/2021,7/17/2018,-379,718,1
7/4/2020,Hunterdon,NJ,2020,186,7/18/2021,7/17/2018,-379,718,1
7/4/2020,Warren,NJ,2020,186,7/18/2021,7/17/2018,-379,718,2
7/5/2020,Burlington,NJ,2020,187,7/18/2021,7/17/2018,-378,719,1
7/5/2020,Camden,NJ,2020,187,7/18/2021,7/17/2018,-378,719,1
7/5/2020,Hunterdon,NJ,2020,187,7/18/2021,7/17/2018,-378,719,1
7/5/2020,Middlesex,NJ,2020,187,7/18/2021,7/17/2018,-378,719,1
7/5/2020,Warren,NJ,2020,187,7/18/2021,7/17/2018,-378,719,1
7/6/2020,Hunterdon,NJ,2020,188,7/18/2021,7/17/2018,-377,720,1
7/6/2020,Burlington,NJ,2020,188,7/18/2021,7/17/2018,-377,720,2
7/7/2020,Camden,NJ,2020,189,7/18/2021,7/17/2018,-376,721,1
7/7/2020,Salem,NJ,2020,189,7/18/2021,7/17/2018,-376,721,1
7/8/2020,Gloucester,NJ,2020,190,7/18/2021,7/17/2018,-375,722,1
7/8/2020,Camden,NJ,2020,190,7/18/2021,7/17/2018,-375,722,2
7/9/2020,Gloucester,NJ,2020,191,7/18/2021,7/17/2018,-374,723,1
7/9/2020,Camden,NJ,2020,191,7/18/2021,7/17/2018,-374,723,2
7/11/2020,Hunterdon,NJ,2020,193,7/18/2021,7/17/2018,-372,725,2
7/12/2020,Burlington,NJ,2020,194,7/18/2021,7/17/2018,-371,726,1
7/12/2020,Hunterdon,NJ,2020,194,7/18/2021,7/17/2018,-371,726,1
7/13/2020,Warren,NJ,2020,195,7/18/2021,7/17/2018,-370,727,2
7/13/2020,Camden,NJ,2020,195,7/18/2021,7/17/2018,-370,727,3
7/14/2020,Hunterdon,NJ,2020,196,7/18/2021,7/17/2018,-369,728,2
7/15/2020,Hunterdon,NJ,2020,197,7/18/2021,7/17/2018,-368,729,2
7/16/2020,Burlington,NJ,2020,198,7/18/2021,7/17/2018,-367,730,1
7/16/2020,Hunterdon,NJ,2020,198,7/18/2021,7/17/2018,-367,730,1
7/16/2020,Mercer,NJ,2020,198,7/18/2021,7/17/2018,-367,730,1
7/16/2020,Somerset,NJ,2020,198,7/18/2021,7/17/2018,-367,730,3
7/17/2020,Mercer,NJ,2020,199,7/18/2021,7/17/2018,-366,731,1
7/17/2020,Somerset,NJ,2020,199,7/18/2021,7/17/2018,-366,731,1
7/18/2020,Mercer,NJ,2020,200,7/18/2021,7/17/2018,-365,732,1
7/19/2020,Mercer,NJ,2020,201,7/18/2021,7/17/2018,-364,733,1
7/19/2020,Morris,NJ,2020,201,7/18/2021,7/17/2018,-364,733,1
7/19/2020,Warren,NJ,2020,201,7/18/2021,7/17/2018,-364,733,1
7/19/2020,Hunterdon,NJ,2020,201,7/18/2021,7/17/2018,-364,733,2
7/20/2020,Camden,NJ,2020,202,7/18/2021,7/17/2018,-363,734,1
7/20/2020,Gloucester,NJ,2020,202,7/18/2021,7/17/2018,-363,734,1
7/22/2020,Gloucester,NJ,2020,204,7/18/2021,7/17/2018,-361,736,1
7/22/2020,Warren,NJ,2020,204,7/18/2021,7/17/2018,-361,736,2
7/23/2020,Somerset,NJ,2020,205,7/18/2021,7/17/2018,-360,737,1
7/23/2020,Warren,NJ,2020,205,7/18/2021,7/17/2018,-360,737,1
7/23/2020,Gloucester,NJ,2020,205,7/18/2021,7/17/2018,-360,737,4
7/24/2020,Camden,NJ,2020,206,7/18/2021,7/17/2018,-359,738,1
7/24/2020,Mercer,NJ,2020,206,7/18/2021,7/17/2018,-359,738,2
7/24/2020,Hunterdon,NJ,2020,206,7/18/2021,7/17/2018,-359,738,3
7/25/2020,Camden,NJ,2020,207,7/18/2021,7/17/2018,-358,739,1
7/25/2020,Mercer,NJ,2020,207,7/18/2021,7/17/2018,-358,739,1
7/25/2020,Somerset,NJ,2020,207,7/18/2021,7/17/2018,-358,739,1
7/25/2020,Gloucester,NJ,2020,207,7/18/2021,7/17/2018,-358,739,2
7/25/2020,Hunterdon,NJ,2020,207,7/18/2021,7/17/2018,-358,739,2
7/25/2020,Burlington,NJ,2020,207,7/18/2021,7/17/2018,-358,739,7
7/26/2020,Camden,NJ,2020,208,7/18/2021,7/17/2018,-357,740,1
7/26/2020,Hunterdon,NJ,2020,208,7/18/2021,7/17/2018,-357,740,1
7/26/2020,Warren,NJ,2020,208,7/18/2021,7/17/2018,-357,740,1
7/27/2020,Gloucester,NJ,2020,209,7/18/2021,7/17/2018,-356,741,1
7/27/2020,Mercer,NJ,2020,209,7/18/2021,7/17/2018,-356,741,1
7/27/2020,Somerset,NJ,2020,209,7/18/2021,7/17/2018,-356,741,1
7/28/2020,Camden,NJ,2020,210,7/18/2021,7/17/2018,-355,742,1
7/28/2020,Hunterdon,NJ,2020,210,7/18/2021,7/17/2018,-355,742,1
7/29/2020,Essex,NJ,2020,211,7/18/2021,7/17/2018,-354,743,1
7/29/2020,Somerset,NJ,2020,211,7/18/2021,7/17/2018,-354,743,1
7/29/2020,Burlington,NJ,2020,211,7/18/2021,7/17/2018,-354,743,2
7/30/2020,Burlington,NJ,2020,212,7/18/2021,7/17/2018,-353,744,1
7/30/2020,Camden,NJ,2020,212,7/18/2021,7/17/2018,-353,744,1
7/30/2020,Hudson,NJ,2020,212,7/18/2021,7/17/2018,-353,744,1
7/31/2020,Burlington,NJ,2020,213,7/18/2021,7/17/2018,-352,745,1
7/31/2020,Camden,NJ,2020,213,7/18/2021,7/17/2018,-352,745,1
7/31/2020,Gloucester,NJ,2020,213,7/18/2021,7/17/2018,-352,745,2
7/31/2020,Mercer,NJ,2020,213,7/18/2021,7/17/2018,-352,745,2
8/1/2020,Camden,NJ,2020,214,7/18/2021,7/17/2018,-351,746,1
8/1/2020,Cape May,NJ,2020,214,7/18/2021,7/17/2018,-351,746,1
8/1/2020,Gloucester,NJ,2020,214,7/18/2021,7/17/2018,-351,746,1
8/1/2020,Somerset,NJ,2020,214,7/18/2021,7/17/2018,-351,746,1
8/1/2020,Warren,NJ,2020,214,7/18/2021,7/17/2018,-351,746,1
8/2/2020,Camden,NJ,2020,215,7/18/2021,7/17/2018,-350,747,1
8/2/2020,Hunterdon,NJ,2020,215,7/18/2021,7/17/2018,-350,747,1
8/2/2020,Mercer,NJ,2020,215,7/18/2021,7/17/2018,-350,747,2
8/2/2020,Somerset,NJ,2020,215,7/18/2021,7/17/2018,-350,747,3
8/3/2020,Hunterdon,NJ,2020,216,7/18/2021,7/17/2018,-349,748,1
8/3/2020,Salem,NJ,2020,216,7/18/2021,7/17/2018,-349,748,1
8/3/2020,Somerset,NJ,2020,216,7/18/2021,7/17/2018,-349,748,1
8/3/2020,Warren,NJ,2020,216,7/18/2021,7/17/2018,-349,748,1
8/3/2020,Mercer,NJ,2020,216,7/18/2021,7/17/2018,-349,748,3
8/3/2020,Camden,NJ,2020,216,7/18/2021,7/17/2018,-349,748,4
8/4/2020,Union,NJ,2020,217,7/18/2021,7/17/2018,-348,749,1
8/4/2020,Camden,NJ,2020,217,7/18/2021,7/17/2018,-348,749,2
8/4/2020,Somerset,NJ,2020,217,7/18/2021,7/17/2018,-348,749,2
8/5/2020,Somerset,NJ,2020,218,7/18/2021,7/17/2018,-347,750,1
8/5/2020,Hunterdon,NJ,2020,218,7/18/2021,7/17/2018,-347,750,2
8/5/2020,Burlington,NJ,2020,218,7/18/2021,7/17/2018,-347,750,4
8/6/2020,Burlington,NJ,2020,219,7/18/2021,7/17/2018,-346,751,1
8/6/2020,Gloucester,NJ,2020,219,7/18/2021,7/17/2018,-346,751,1
8/6/2020,Mercer,NJ,2020,219,7/18/2021,7/17/2018,-346,751,1
8/6/2020,Somerset,NJ,2020,219,7/18/2021,7/17/2018,-346,751,2
8/7/2020,Burlington,NJ,2020,220,7/18/2021,7/17/2018,-345,752,2
8/7/2020,Hunterdon,NJ,2020,220,7/18/2021,7/17/2018,-345,752,2
8/7/2020,Mercer,NJ,2020,220,7/18/2021,7/17/2018,-345,752,3
8/8/2020,Camden,NJ,2020,221,7/18/2021,7/17/2018,-344,753,1
8/8/2020,Gloucester,NJ,2020,221,7/18/2021,7/17/2018,-344,753,1
8/8/2020,Sussex,NJ,2020,221,7/18/2021,7/17/2018,-344,753,1
8/8/2020,Hunterdon,NJ,2020,221,7/18/2021,7/17/2018,-344,753,2
8/8/2020,Mercer,NJ,2020,221,7/18/2021,7/17/2018,-344,753,2
8/8/2020,Somerset,NJ,2020,221,7/18/2021,7/17/2018,-344,753,2
8/9/2020,Gloucester,NJ,2020,222,7/18/2021,7/17/2018,-343,754,1
8/9/2020,Mercer,NJ,2020,222,7/18/2021,7/17/2018,-343,754,2
8/9/2020,Somerset,NJ,2020,222,7/18/2021,7/17/2018,-343,754,2
8/9/2020,Hunterdon,NJ,2020,222,7/18/2021,7/17/2018,-343,754,4
8/10/2020,Gloucester,NJ,2020,223,7/18/2021,7/17/2018,-342,755,1
8/10/2020,Union,NJ,2020,223,7/18/2021,7/17/2018,-342,755,1
8/10/2020,Middlesex,NJ,2020,223,7/18/2021,7/17/2018,-342,755,2
8/10/2020,Mercer,NJ,2020,223,7/18/2021,7/17/2018,-342,755,3
8/11/2020,Mercer,NJ,2020,224,7/18/2021,7/17/2018,-341,756,1
8/11/2020,Monmouth,NJ,2020,224,7/18/2021,7/17/2018,-341,756,1
8/11/2020,Morris,NJ,2020,224,7/18/2021,7/17/2018,-341,756,1
8/11/2020,Somerset,NJ,2020,224,7/18/2021,7/17/2018,-341,756,1
8/11/2020,Middlesex,NJ,2020,224,7/18/2021,7/17/2018,-341,756,2
8/11/2020,Hunterdon,NJ,2020,224,7/18/2021,7/17/2018,-341,756,5
8/12/2020,Burlington,NJ,2020,225,7/18/2021,7/17/2018,-340,757,1
8/12/2020,Somerset,NJ,2020,225,7/18/2021,7/17/2018,-340,757,1
8/12/2020,Mercer,NJ,2020,225,7/18/2021,7/17/2018,-340,757,2
8/12/2020,Hunterdon,NJ,2020,225,7/18/2021,7/17/2018,-340,757,4
8/13/2020,Hunterdon,NJ,2020,226,7/18/2021,7/17/2018,-339,758,1
8/13/2020,Somerset,NJ,2020,226,7/18/2021,7/17/2018,-339,758,1
8/13/2020,Warren,NJ,2020,226,7/18/2021,7/17/2018,-339,758,2
8/14/2020,Burlington,NJ,2020,227,7/18/2021,7/17/2018,-338,759,1
8/14/2020,Somerset,NJ,2020,227,7/18/2021,7/17/2018,-338,759,1
8/14/2020,Camden,NJ,2020,227,7/18/2021,7/17/2018,-338,759,2
8/14/2020,Middlesex,NJ,2020,227,7/18/2021,7/17/2018,-338,759,4
8/15/2020,Camden,NJ,2020,228,7/18/2021,7/17/2018,-337,760,1
8/15/2020,Burlington,NJ,2020,228,7/18/2021,7/17/2018,-337,760,2
8/15/2020,Morris,NJ,2020,228,7/18/2021,7/17/2018,-337,760,2
8/15/2020,Hunterdon,NJ,2020,228,7/18/2021,7/17/2018,-337,760,5
8/15/2020,Somerset,NJ,2020,228,7/18/2021,7/17/2018,-337,760,7
8/16/2020,Middlesex,NJ,2020,229,7/18/2021,7/17/2018,-336,761,1
8/16/2020,Somerset,NJ,2020,229,7/18/2021,7/17/2018,-336,761,1
8/16/2020,Hunterdon,NJ,2020,229,7/18/2021,7/17/2018,-336,761,2
8/16/2020,Warren,NJ,2020,229,7/18/2021,7/17/2018,-336,761,2
8/17/2020,Mercer,NJ,2020,230,7/18/2021,7/17/2018,-335,762,1
8/17/2020,Morris,NJ,2020,230,7/18/2021,7/17/2018,-335,762,1
8/17/2020,Union,NJ,2020,230,7/18/2021,7/17/2018,-335,762,1
8/18/2020,Hunterdon,NJ,2020,231,7/18/2021,7/17/2018,-334,763,1
8/18/2020,Middlesex,NJ,2020,231,7/18/2021,7/17/2018,-334,763,1
8/18/2020,Somerset,NJ,2020,231,7/18/2021,7/17/2018,-334,763,1
8/19/2020,Middlesex,NJ,2020,232,7/18/2021,7/17/2018,-333,764,1
8/19/2020,Mercer,NJ,2020,232,7/18/2021,7/17/2018,-333,764,2
8/20/2020,Camden,NJ,2020,233,7/18/2021,7/17/2018,-332,765,1
8/20/2020,Warren,NJ,2020,233,7/18/2021,7/17/2018,-332,765,1
8/20/2020,Hunterdon,NJ,2020,233,7/18/2021,7/17/2018,-332,765,2
8/20/2020,Somerset,NJ,2020,233,7/18/2021,7/17/2018,-332,765,4
8/21/2020,Gloucester,NJ,2020,234,7/18/2021,7/17/2018,-331,766,1
8/21/2020,Morris,NJ,2020,234,7/18/2021,7/17/2018,-331,766,1
8/21/2020,Union,NJ,2020,234,7/18/2021,7/17/2018,-331,766,1
8/21/2020,Warren,NJ,2020,234,7/18/2021,7/17/2018,-331,766,1
8/21/2020,Hunterdon,NJ,2020,234,7/18/2021,7/17/2018,-331,766,2
8/21/2020,Mercer,NJ,2020,234,7/18/2021,7/17/2018,-331,766,2
8/21/2020,Somerset,NJ,2020,234,7/18/2021,7/17/2018,-331,766,2
8/22/2020,Burlington,NJ,2020,235,7/18/2021,7/17/2018,-330,767,1
8/22/2020,Sussex,NJ,2020,235,7/18/2021,7/17/2018,-330,767,1
8/22/2020,Middlesex,NJ,2020,235,7/18/2021,7/17/2018,-330,767,2
8/22/2020,Somerset,NJ,2020,235,7/18/2021,7/17/2018,-330,767,2
8/22/2020,Warren,NJ,2020,235,7/18/2021,7/17/2018,-330,767,2
8/22/2020,Hunterdon,NJ,2020,235,7/18/2021,7/17/2018,-330,767,3
8/22/2020,Mercer,NJ,2020,235,7/18/2021,7/17/2018,-330,767,3
8/23/2020,Union,NJ,2020,236,7/18/2021,7/17/2018,-329,768,1
8/23/2020,Hunterdon,NJ,2020,236,7/18/2021,7/17/2018,-329,768,2
8/23/2020,Mercer,NJ,2020,236,7/18/2021,7/17/2018,-329,768,2
8/23/2020,Somerset,NJ,2020,236,7/18/2021,7/17/2018,-329,768,3
8/24/2020,Burlington,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Essex,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Hunterdon,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Mercer,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Middlesex,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Morris,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Somerset,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/24/2020,Warren,NJ,2020,237,7/18/2021,7/17/2018,-328,769,1
8/25/2020,Camden,NJ,2020,238,7/18/2021,7/17/2018,-327,770,1
8/25/2020,Warren,NJ,2020,238,7/18/2021,7/17/2018,-327,770,1
8/25/2020,Somerset,NJ,2020,238,7/18/2021,7/17/2018,-327,770,3
8/26/2020,Burlington,NJ,2020,239,7/18/2021,7/17/2018,-326,771,1
8/26/2020,Hunterdon,NJ,2020,239,7/18/2021,7/17/2018,-326,771,1
8/26/2020,Mercer,NJ,2020,239,7/18/2021,7/17/2018,-326,771,1
8/26/2020,Middlesex,NJ,2020,239,7/18/2021,7/17/2018,-326,771,1
8/27/2020,Camden,NJ,2020,240,7/18/2021,7/17/2018,-325,772,1
8/27/2020,Hunterdon,NJ,2020,240,7/18/2021,7/17/2018,-325,772,1
8/27/2020,Middlesex,NJ,2020,240,7/18/2021,7/17/2018,-325,772,1
8/27/2020,Warren,NJ,2020,240,7/18/2021,7/17/2018,-325,772,1
8/27/2020,Morris,NJ,2020,240,7/18/2021,7/17/2018,-325,772,2
8/28/2020,Atlantic,NJ,2020,241,7/18/2021,7/17/2018,-324,773,1
8/28/2020,Somerset,NJ,2020,241,7/18/2021,7/17/2018,-324,773,1
8/28/2020,Union,NJ,2020,241,7/18/2021,7/17/2018,-324,773,1
8/28/2020,Burlington,NJ,2020,241,7/18/2021,7/17/2018,-324,773,2
8/28/2020,Mercer,NJ,2020,241,7/18/2021,7/17/2018,-324,773,3
8/29/2020,Middlesex,NJ,2020,242,7/18/2021,7/17/2018,-323,774,1
8/29/2020,Somerset,NJ,2020,242,7/18/2021,7/17/2018,-323,774,1
8/29/2020,Hunterdon,NJ,2020,242,7/18/2021,7/17/2018,-323,774,2
8/29/2020,Mercer,NJ,2020,242,7/18/2021,7/17/2018,-323,774,2
8/30/2020,Hunterdon,NJ,2020,243,7/18/2021,7/17/2018,-322,775,1
8/30/2020,Middlesex,NJ,2020,243,7/18/2021,7/17/2018,-322,775,1
